CaseID,Split_0,Split_1,Split_2,Split_3,Split_4
1,test,train,train,train,train
2,train,train,test,train,train
3,train,train,train,train,test
4,train,train,train,test,train
5,train,train,train,train,test
6,test,train,train,train,train
7,test,train,train,train,train
8,train,train,test,train,train
9,test,train,train,train,train
10,train,train,train,train,test
11,test,train,train,train,train
12,train,test,train,train,train
13,train,train,train,train,test
14,train,test,train,train,train
15,train,train,train,test,train
16,train,test,train,train,train
17,train,train,train,test,train
18,train,train,train,train,test
19,train,train,test,train,train
20,train,train,train,train,test
21,train,test,train,train,train
22,train,train,train,test,train
23,train,test,train,train,train
24,train,test,train,train,train
25,train,train,train,train,test
26,train,test,train,train,train
27,train,train,train,test,train
28,train,train,test,train,train
29,train,train,train,train,test
30,train,train,train,test,train
31,test,train,train,train,train
32,train,train,train,train,test
33,train,train,train,train,test
34,train,train,train,test,train
35,train,train,test,train,train
36,train,train,train,train,test
37,train,test,train,train,train
38,train,train,train,test,train
39,train,train,test,train,train
40,train,test,train,train,train
41,train,train,train,test,train
42,train,train,test,train,train
43,test,train,train,train,train
44,test,train,train,train,train
46,test,train,train,train,train
47,train,train,train,train,test
48,train,train,train,test,train
49,test,train,train,train,train
50,test,train,train,train,train
51,train,test,train,train,train
52,train,train,train,test,train
53,train,train,train,test,train
54,train,train,test,train,train
55,train,test,train,train,train
56,test,train,train,train,train
57,train,train,train,test,train
58,train,train,train,test,train
59,train,train,train,test,train
60,test,train,train,train,train
62,train,test,train,train,train
63,test,train,train,train,train
64,test,train,train,train,train
65,train,test,train,train,train
66,test,train,train,train,train
67,train,train,train,test,train
68,test,train,train,train,train
69,train,train,train,test,train
70,train,test,train,train,train
71,test,train,train,train,train
72,train,train,test,train,train
73,train,train,train,test,train
74,train,test,train,train,train
75,train,train,test,train,train
76,train,train,test,train,train
77,train,train,train,train,test
78,test,train,train,train,train
79,test,train,train,train,train
80,train,train,test,train,train
81,train,train,train,train,test
82,train,train,train,train,test
83,train,train,train,train,test
84,train,train,train,train,test
85,train,train,test,train,train
86,train,train,train,train,test
87,train,train,test,train,train
88,test,train,train,train,train
