,Descriptor,Train,Test,Classifier,Scaler,Acc. avg,Acc. std,Sens.,Spec.
84,ConvNeXt_base,BUID,BUID,Rbf SVC,z-score,80.6012950971323,4.691442642866533,77.23333333333332,84.37229437229436
86,ConvNeXt_base,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,,64.28571428571429,85.06493506493507
87,ConvNeXt_base,BUID,BrEaST,Rbf SVC (tuned),z-score,76.98412698412699,,64.28571428571429,85.06493506493507
82,ConvNeXt_base,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,,69.10569105691057,89.90825688073394
83,ConvNeXt_base,BrEaST,BUID,Rbf SVC (tuned),z-score,78.87931034482759,,69.10569105691057,89.90825688073394
80,ConvNeXt_base,BrEaST,BrEaST,Rbf SVC,z-score,79.78039215686275,6.273950955504829,68.36842105263159,87.0752688172043
12,DCF,BUID,BUID,Rbf SVC,z-score,75.85568917668824,4.379790780070397,78.0,73.33333333333333
13,DCF,BUID,BUID,Rbf SVC (tuned),z-score,75.85568917668824,4.379790780070397,77.2,74.28571428571429
14,DCF,BUID,BrEaST,Rbf SVC,z-score,75.39682539682539,,66.3265306122449,81.16883116883116
15,DCF,BUID,BrEaST,Rbf SVC (tuned),z-score,75.39682539682539,,66.3265306122449,81.16883116883116
10,DCF,BrEaST,BUID,Rbf SVC,z-score,77.15517241379311,,73.98373983739837,80.73394495412845
9,DCF,BrEaST,BrEaST,Rbf SVC (tuned),z-score,75.43529411764706,8.076931138062063,64.47368421052632,82.51612903225806
92,EfficientNet_V2_s,BUID,BUID,Rbf SVC,z-score,74.1350601295097,2.763218008611607,65.86666666666666,83.37662337662337
93,EfficientNet_V2_s,BUID,BUID,Rbf SVC (tuned),z-score,74.1350601295097,2.763218008611607,66.66666666666666,82.42424242424242
94,EfficientNet_V2_s,BUID,BrEaST,Rbf SVC,z-score,77.38095238095238,,57.14285714285714,90.25974025974025
95,EfficientNet_V2_s,BUID,BrEaST,Rbf SVC (tuned),z-score,77.38095238095238,,57.14285714285714,90.25974025974025
90,EfficientNet_V2_s,BrEaST,BUID,Rbf SVC,z-score,71.12068965517241,,53.65853658536586,90.82568807339449
91,EfficientNet_V2_s,BrEaST,BUID,Rbf SVC (tuned),z-score,71.12068965517241,,53.65853658536586,90.82568807339449
88,EfficientNet_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,74.61960784313726,5.766994343684782,57.1578947368421,85.78494623655914
21,Gabor,BUID,BUID,Rbf SVC (tuned),z-score,74.99537465309899,4.878511053245674,80.5,68.83116883116884
22,Gabor,BUID,BrEaST,Rbf SVC,z-score,75.0,,66.3265306122449,80.51948051948052
23,Gabor,BUID,BrEaST,Rbf SVC (tuned),z-score,75.0,,66.3265306122449,80.51948051948052
18,Gabor,BrEaST,BUID,Rbf SVC,z-score,69.82758620689656,,53.65853658536586,88.07339449541286
19,Gabor,BrEaST,BUID,Rbf SVC (tuned),z-score,69.82758620689656,,53.65853658536586,88.07339449541286
17,Gabor,BrEaST,BrEaST,Rbf SVC (tuned),z-score,74.62745098039215,6.383995752547972,65.3157894736842,80.6021505376344
28,HOG,BUID,BUID,Rbf SVC,z-score,64.19981498612397,4.210945895527203,72.33333333333333,54.97835497835498
30,HOG,BUID,BrEaST,Rbf SVC,z-score,69.44444444444444,,65.3061224489796,72.07792207792207
31,HOG,BUID,BrEaST,Rbf SVC (tuned),z-score,69.44444444444444,,65.3061224489796,72.07792207792207
26,HOG,BrEaST,BUID,Rbf SVC,z-score,63.36206896551724,,64.22764227642277,62.38532110091744
27,HOG,BrEaST,BUID,Rbf SVC (tuned),z-score,63.36206896551724,,64.22764227642277,62.38532110091744
24,HOG,BrEaST,BrEaST,Rbf SVC,z-score,69.05882352941175,4.744806343327259,42.94736842105263,85.63440860215053
25,HOG,BrEaST,BrEaST,Rbf SVC (tuned),z-score,69.05882352941175,4.744806343327259,42.94736842105263,85.63440860215053
36,LBP-8-1-nri-uniform,BUID,BUID,Rbf SVC,z-score,66.37372802960222,9.218259514044853,70.76666666666668,61.5151515151515
38,LBP-8-1-nri-uniform,BUID,BrEaST,Rbf SVC,z-score,67.85714285714286,,59.183673469387756,73.37662337662337
39,LBP-8-1-nri-uniform,BUID,BrEaST,Rbf SVC (tuned),z-score,67.85714285714286,,59.183673469387756,73.37662337662337
35,LBP-8-1-nri-uniform,BrEaST,BUID,Rbf SVC (tuned),z-score,62.5,,56.09756097560976,69.72477064220183
33,LBP-8-1-nri-uniform,BrEaST,BrEaST,Rbf SVC (tuned),z-score,77.01176470588236,4.313040943902048,69.26315789473685,81.80645161290323
44,LBP-8-1-ror,BUID,BUID,Rbf SVC,z-score,62.895467160037,6.459236915189298,63.366666666666674,62.294372294372295
45,LBP-8-1-ror,BUID,BUID,Rbf SVC (tuned),z-score,62.895467160037,6.459236915189298,63.366666666666674,62.294372294372295
46,LBP-8-1-ror,BUID,BrEaST,Rbf SVC,z-score,66.26984126984127,,65.3061224489796,66.88311688311688
47,LBP-8-1-ror,BUID,BrEaST,Rbf SVC (tuned),z-score,66.26984126984127,,65.3061224489796,66.88311688311688
42,LBP-8-1-ror,BrEaST,BUID,Rbf SVC,z-score,55.172413793103445,,21.951219512195124,92.66055045871559
43,LBP-8-1-ror,BrEaST,BUID,Rbf SVC (tuned),z-score,55.172413793103445,,21.951219512195124,92.66055045871559
40,LBP-8-1-ror,BrEaST,BrEaST,Rbf SVC,z-score,72.25098039215686,5.606971000329771,58.36842105263158,81.18279569892472
53,LBP-8-1-uniform,BUID,BUID,Rbf SVC (tuned),z-score,65.02312673450508,10.02488429761033,70.7,58.7012987012987
54,LBP-8-1-uniform,BUID,BrEaST,Rbf SVC,z-score,62.698412698412696,,64.28571428571429,61.68831168831169
50,LBP-8-1-uniform,BrEaST,BUID,Rbf SVC,z-score,56.03448275862068,,24.390243902439025,91.74311926605505
51,LBP-8-1-uniform,BrEaST,BUID,Rbf SVC (tuned),z-score,56.03448275862068,,24.390243902439025,91.74311926605505
48,LBP-8-1-uniform,BrEaST,BrEaST,Rbf SVC,z-score,70.62745098039215,2.403124967971456,59.315789473684205,77.93548387096774
61,LBP-8-2-nri-uniform,BUID,BUID,Rbf SVC (tuned),z-score,66.83626271970397,5.968955965232721,68.36666666666667,65.1948051948052
62,LBP-8-2-nri-uniform,BUID,BrEaST,Rbf SVC,z-score,73.01587301587301,,56.12244897959183,83.76623376623377
63,LBP-8-2-nri-uniform,BUID,BrEaST,Rbf SVC (tuned),z-score,73.01587301587301,,56.12244897959183,83.76623376623377
58,LBP-8-2-nri-uniform,BrEaST,BUID,Rbf SVC,z-score,69.39655172413794,,74.79674796747967,63.30275229357798
59,LBP-8-2-nri-uniform,BrEaST,BUID,Rbf SVC (tuned),z-score,69.39655172413794,,74.79674796747967,63.30275229357798
56,LBP-8-2-nri-uniform,BrEaST,BrEaST,Rbf SVC,z-score,77.00392156862745,7.107829885045118,70.42105263157895,81.16129032258064
57,LBP-8-2-nri-uniform,BrEaST,BrEaST,Rbf SVC (tuned),z-score,77.00392156862745,7.107829885045118,70.42105263157895,81.16129032258064
69,LBP-8-2-ror,BUID,BUID,Rbf SVC (tuned),z-score,68.5013876040703,7.590474711562244,69.86666666666667,67.01298701298701
70,LBP-8-2-ror,BUID,BrEaST,Rbf SVC,z-score,63.888888888888886,,77.55102040816327,55.1948051948052
71,LBP-8-2-ror,BUID,BrEaST,Rbf SVC (tuned),z-score,63.888888888888886,,74.48979591836735,57.14285714285714
66,LBP-8-2-ror,BrEaST,BUID,Rbf SVC,z-score,59.05172413793104,,44.71544715447154,75.22935779816514
67,LBP-8-2-ror,BrEaST,BUID,Rbf SVC (tuned),z-score,59.05172413793104,,44.71544715447154,75.22935779816514
64,LBP-8-2-ror,BrEaST,BrEaST,Rbf SVC,z-score,73.45882352941177,7.855652759434865,62.473684210526315,80.53763440860216
65,LBP-8-2-ror,BrEaST,BrEaST,Rbf SVC (tuned),z-score,73.45882352941177,7.855652759434865,63.421052631578945,79.84946236559139
77,LBP-8-2-uniform,BUID,BUID,Rbf SVC (tuned),z-score,67.19703977798335,7.5924699548793635,69.93333333333332,64.19913419913419
78,LBP-8-2-uniform,BUID,BrEaST,Rbf SVC,z-score,62.301587301587304,,60.204081632653065,63.63636363636363
74,LBP-8-2-uniform,BrEaST,BUID,Rbf SVC,z-score,62.5,,56.91056910569105,68.80733944954129
75,LBP-8-2-uniform,BrEaST,BUID,Rbf SVC (tuned),z-score,62.5,,56.91056910569105,68.80733944954129
72,LBP-8-2-uniform,BrEaST,BrEaST,Rbf SVC,z-score,75.00392156862745,3.1990579159190093,61.263157894736835,83.78494623655914
100,MobileNet_V2,BUID,BUID,Rbf SVC,z-score,74.10730804810362,5.782712211927918,67.4,81.51515151515153
101,MobileNet_V2,BUID,BUID,Rbf SVC (tuned),z-score,74.10730804810362,5.782712211927918,68.23333333333332,80.6060606060606
