,Descriptor,Fusion method,Train,Test,Classifier,Scaler,Acc.,Acc. CI_l,Acc. CI_u,Sens.,Spec.
14,Best by class,sum,BUID,BUID,Rbf SVC,z-score,81.8686401480111,75.94149633361053,85.9644979432486,84.53333333333333,78.78787878787878
3,Best by class,early-fusion,BUID,BrEaST,Rbf SVC,z-score,79.76190476190477,74.35176071378655,84.27829896904505,64.28571428571429,89.6103896103896
1,Best by class,early-fusion,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,73.15772231883581,83.66010804485683,75.60975609756098,82.56880733944955
8,Best by class,prod,BrEaST,BrEaST,Rbf SVC,z-score,78.96470588235293,73.07827312687705,83.20658416864129,67.26315789473685,86.34408602150539
26,Best by class (weighted),prod,BUID,BUID,Rbf SVC,z-score,82.31267345050878,76.40864484542348,86.34537675029674,84.56666666666666,79.74025974025973
30,Best by class (weighted),sum,BUID,BUID,Rbf SVC,z-score,82.31267345050878,76.40864484542348,86.34537675029674,84.56666666666666,79.74025974025973
27,Best by class (weighted),prod,BUID,BrEaST,Rbf SVC,z-score,80.15873015873017,74.77764626206913,84.6341475498669,69.38775510204081,87.01298701298701
31,Best by class (weighted),sum,BUID,BrEaST,Rbf SVC,z-score,80.15873015873017,74.77764626206913,84.6341475498669,69.38775510204081,87.01298701298701
17,Best by class (weighted),early-fusion,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,73.15772231883581,83.66010804485683,75.60975609756098,82.56880733944955
21,Best by class (weighted),majority-voting,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,73.15772231883581,83.66010804485683,78.04878048780488,79.81651376146789
24,Best by class (weighted),prod,BrEaST,BrEaST,Rbf SVC,z-score,78.57254901960783,73.07827312687705,83.20658416864129,66.26315789473685,86.34408602150539
38,Top 3,majority-voting,BUID,BUID,Rbf SVC,z-score,81.8686401480111,75.94149633361053,85.9644979432486,80.5,83.37662337662337
47,Top 3,sum,BUID,BrEaST,Rbf SVC,z-score,79.76190476190477,74.35176071378655,84.27829896904505,76.53061224489795,81.81818181818183
33,Top 3,early-fusion,BrEaST,BUID,Rbf SVC,z-score,80.60344827586206,75.01001841057958,85.1999212285574,72.35772357723577,89.90825688073394
32,Top 3,early-fusion,BrEaST,BrEaST,Rbf SVC,z-score,79.41960784313726,73.92657950461034,83.92174604911685,67.36842105263158,87.03225806451613
54,Top 3 (weighted),majority-voting,BUID,BUID,Rbf SVC,z-score,81.8686401480111,75.94149633361053,85.9644979432486,80.5,83.37662337662337
59,Top 3 (weighted),prod,BUID,BrEaST,Rbf SVC,z-score,79.76190476190477,74.35176071378655,84.27829896904505,76.53061224489795,81.81818181818183
63,Top 3 (weighted),sum,BUID,BrEaST,Rbf SVC,z-score,79.76190476190477,74.35176071378655,84.27829896904505,76.53061224489795,81.81818181818183
49,Top 3 (weighted),early-fusion,BrEaST,BUID,Rbf SVC,z-score,80.60344827586206,75.01001841057958,85.1999212285574,72.35772357723577,89.90825688073394
48,Top 3 (weighted),early-fusion,BrEaST,BrEaST,Rbf SVC,z-score,79.41960784313726,73.92657950461034,83.92174604911685,67.36842105263158,87.03225806451613
70,Top 5,majority-voting,BUID,BUID,Rbf SVC,z-score,81.85938945420908,75.94149633361053,85.9644979432486,80.46666666666667,83.37662337662337
79,Top 5,sum,BUID,BrEaST,Rbf SVC,z-score,81.34920634920636,76.05968403697754,85.69731216227173,79.59183673469387,82.46753246753246
73,Top 5,prod,BrEaST,BUID,Rbf SVC,z-score,81.46551724137932,75.94149633361053,85.9644979432486,77.23577235772358,86.23853211009175
76,Top 5,sum,BrEaST,BrEaST,Rbf SVC,z-score,81.37254901960785,76.05968403697754,85.69731216227173,71.36842105263158,87.6774193548387
86,Top 5 (weighted),majority-voting,BUID,BUID,Rbf SVC,z-score,81.85938945420908,75.94149633361053,85.9644979432486,80.46666666666667,83.37662337662337
87,Top 5 (weighted),majority-voting,BUID,BrEaST,Rbf SVC,z-score,80.55555555555556,75.20425127349614,84.9892766675443,69.38775510204081,87.66233766233766
91,Top 5 (weighted),prod,BUID,BrEaST,Rbf SVC,z-score,80.55555555555556,75.20425127349614,84.9892766675443,78.57142857142857,81.81818181818183
89,Top 5 (weighted),prod,BrEaST,BUID,Rbf SVC,z-score,81.03448275862068,75.47529536790194,85.58267159009611,75.60975609756098,87.1559633027523
88,Top 5 (weighted),prod,BrEaST,BrEaST,Rbf SVC,z-score,81.37254901960785,76.05968403697754,85.69731216227173,71.36842105263158,87.6774193548387
92,Top 5 (weighted),sum,BrEaST,BrEaST,Rbf SVC,z-score,81.37254901960785,76.05968403697754,85.69731216227173,71.36842105263158,87.6774193548387
102,Top 7,majority-voting,BUID,BUID,Rbf SVC,z-score,79.72247918593894,73.61951463980282,84.0463430427509,77.23333333333333,82.42424242424245
107,Top 7,prod,BUID,BrEaST,Rbf SVC,z-score,81.74603174603175,76.48854605352886,86.05018427482484,76.53061224489795,85.06493506493507
109,Top 7,sum,BrEaST,BUID,Rbf SVC,z-score,80.60344827586206,75.01001841057958,85.1999212285574,72.35772357723577,89.90825688073394
104,Top 7,prod,BrEaST,BrEaST,Rbf SVC,z-score,80.18039215686275,74.77764626206913,84.6341475498669,68.3157894736842,87.6774193548387
108,Top 7,sum,BrEaST,BrEaST,Rbf SVC,z-score,80.18039215686275,74.77764626206913,84.6341475498669,68.3157894736842,87.6774193548387
118,Top 7 (weighted),majority-voting,BUID,BUID,Rbf SVC,z-score,79.72247918593894,73.61951463980282,84.0463430427509,77.23333333333333,82.42424242424245
123,Top 7 (weighted),prod,BUID,BrEaST,Rbf SVC,z-score,80.95238095238095,75.63159163267528,85.34367043746958,75.51020408163265,84.4155844155844
127,Top 7 (weighted),sum,BUID,BrEaST,Rbf SVC,z-score,80.95238095238095,75.63159163267528,85.34367043746958,74.48979591836735,85.06493506493507
125,Top 7 (weighted),sum,BrEaST,BUID,Rbf SVC,z-score,80.60344827586206,75.01001841057958,85.1999212285574,72.35772357723577,89.90825688073394
124,Top 7 (weighted),sum,BrEaST,BrEaST,Rbf SVC,z-score,80.58039215686273,75.20425127349614,84.9892766675443,69.3157894736842,87.6774193548387
