,Descriptor,Train,Test,Classifier,Scaler,Acc.,Acc. CI_l,Acc. CI_u,Sens.,Spec.
46,ConvNeXt_base,BUID,BUID,Rbf SVC,z-score,79.72247918593895,73.61951463980282,84.0463430427509,78.83333333333333,80.60606060606061
47,ConvNeXt_base,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,70.86078391074821,81.716909858639,64.28571428571429,85.06493506493507
45,ConvNeXt_base,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,73.07827312687705,83.20658416864129,69.10569105691057,89.90825688073394
44,ConvNeXt_base,BrEaST,BrEaST,Rbf SVC,z-score,77.45882352941176,71.81075672413158,82.12889818407348,67.42105263157893,83.80645161290323
6,DCF,BUID,BUID,Rbf SVC,z-score,64.21831637372803,57.42660863406236,69.71026556949232,69.2,58.658008658008654
7,DCF,BUID,BrEaST,Rbf SVC,z-score,55.952380952380956,49.16979082679101,61.854564318403085,50.0,59.74025974025974
5,DCF,BrEaST,BUID,Rbf SVC,z-score,62.5,56.172721358437585,68.06103664379948,55.28455284552846,70.64220183486239
4,DCF,BrEaST,BrEaST,Rbf SVC,z-score,69.43529411764706,63.082513621564175,74.44072457544804,69.15789473684211,69.50537634408602
50,EfficientNet_V2_s,BUID,BUID,Rbf SVC,z-score,74.13506012950971,67.67608505509803,78.96541748226159,66.66666666666666,82.42424242424242
51,EfficientNet_V2_s,BUID,BrEaST,Rbf SVC,z-score,77.38095238095238,71.31862165806652,82.10709943018179,57.14285714285714,90.25974025974025
49,EfficientNet_V2_s,BrEaST,BUID,Rbf SVC,z-score,71.12068965517241,65.13977331837019,76.29213552416415,53.65853658536586,90.82568807339449
48,EfficientNet_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,74.24313725490195,68.4575668189249,79.2282150564448,57.105263157894726,85.0752688172043
10,FDTA,BUID,BUID,Rbf SVC,z-score,68.53839037927844,62.2906939453523,74.17448076567432,70.7,66.01731601731602
11,FDTA,BUID,BrEaST,Rbf SVC,z-score,70.63492063492063,64.07613309801418,75.78115088845678,64.28571428571429,74.67532467532467
9,FDTA,BrEaST,BUID,Rbf SVC,z-score,68.10344827586206,61.85384133551297,73.32419447418599,52.03252032520326,86.23853211009175
8,FDTA,BrEaST,BrEaST,Rbf SVC,z-score,75.03529411764707,69.29238192122243,79.95686821235611,58.15789473684211,85.72043010752687
14,Gabor,BUID,BUID,Rbf SVC,z-score,63.829787234042556,57.42660863406236,69.71026556949232,74.0,52.294372294372295
15,Gabor,BUID,BrEaST,Rbf SVC,z-score,61.50793650793651,54.800116025033674,67.24859426535453,74.48979591836735,53.246753246753244
13,Gabor,BrEaST,BUID,Rbf SVC,z-score,65.94827586206897,59.815131239159236,71.4542339250176,67.47967479674797,64.22018348623854
12,Gabor,BrEaST,BrEaST,Rbf SVC,z-score,74.23529411764706,68.4575668189249,79.2282150564448,71.26315789473685,76.0215053763441
18,HOG,BUID,BUID,Rbf SVC,z-score,76.66049953746533,70.40369183663842,81.32597461388771,77.86666666666667,75.06493506493506
19,HOG,BUID,BrEaST,Rbf SVC,z-score,71.42857142857143,64.97239496700051,76.58094365719262,47.95918367346938,86.36363636363636
17,HOG,BrEaST,BUID,Rbf SVC,z-score,73.27586206896551,67.20946059385547,78.13111889420095,83.73983739837398,61.46788990825688
16,HOG,BrEaST,BrEaST,Rbf SVC,z-score,75.80392156862746,70.12946934624256,80.68324904554483,66.21052631578948,81.8279569892473
22,LBP-8-1-nri-uniform,BUID,BUID,Rbf SVC,z-score,65.93894542090656,59.187854317519886,71.34112916147913,69.10000000000001,62.42424242424243
