,Descriptor,Fusion method,Train,Test,Classifier,Scaler,Acc.,Acc. CI_l,Acc. CI_u,Sens.,Spec.
0,ConvNeXt_base+Morphological+HOG,early-fusion,BrEaST,BrEaST,Rbf SVC,z-score,80.61176470588235,75.20425127349614,84.9892766675443,70.47368421052632,87.03225806451613
1,ConvNeXt_base+Morphological+HOG,early-fusion,BrEaST,BUID,Rbf SVC,z-score,79.74137931034483,74.0821485998934,84.43173640152139,72.35772357723577,88.07339449541286
2,ConvNeXt_base+Morphological+HOG,early-fusion,BUID,BUID,Rbf SVC,z-score,81.8963922294172,75.94149633361053,85.9644979432486,76.98779995966929,86.64501795448088
3,ConvNeXt_base+Morphological+HOG,early-fusion,BUID,BrEaST,Rbf SVC,z-score,77.77777777777779,72.2326196226713,82.48876941463821,63.26530612244898,87.01298701298701
4,ConvNeXt_base+Morphological+HOG,majority-voting,BrEaST,BrEaST,Rbf SVC,z-score,77.79607843137254,72.2326196226713,82.48876941463821,66.26315789473685,85.05376344086022
5,ConvNeXt_base+Morphological+HOG,majority-voting,BrEaST,BUID,Rbf SVC,z-score,78.44827586206897,72.6967535988885,83.27304944594303,74.79674796747967,82.56880733944955
6,ConvNeXt_base+Morphological+HOG,majority-voting,BUID,BUID,Rbf SVC,z-score,81.46160962072156,75.47529536790194,85.58267159009611,82.02191302009814,81.24821962162116
7,ConvNeXt_base+Morphological+HOG,majority-voting,BUID,BrEaST,Rbf SVC,z-score,77.38095238095238,71.81075672413158,82.12889818407348,65.3061224489796,85.06493506493507
8,ConvNeXt_base+Morphological+HOG,prod,BrEaST,BrEaST,Rbf SVC,z-score,78.98823529411764,73.50208822319178,83.56450320143098,67.26315789473685,86.34408602150539
9,ConvNeXt_base+Morphological+HOG,prod,BrEaST,BUID,Rbf SVC,z-score,78.01724137931035,72.23659133049844,82.88518439547201,76.42276422764228,79.81651376146789
10,ConvNeXt_base+Morphological+HOG,prod,BUID,BUID,Rbf SVC,z-score,82.75670675300647,76.87676580383499,86.7252831107463,82.93086643812597,82.86664599963831
11,ConvNeXt_base+Morphological+HOG,prod,BUID,BrEaST,Rbf SVC,z-score,79.76190476190477,74.35176071378655,84.27829896904505,73.46938775510205,83.76623376623377
12,ConvNeXt_base+Morphological+HOG,sum,BrEaST,BrEaST,Rbf SVC,z-score,78.98039215686273,73.50208822319178,83.56450320143098,67.3157894736842,86.34408602150539
13,ConvNeXt_base+Morphological+HOG,sum,BrEaST,BUID,Rbf SVC,z-score,78.44827586206897,72.6967535988885,83.27304944594303,75.60975609756098,81.65137614678899
14,ConvNeXt_base+Morphological+HOG,sum,BUID,BUID,Rbf SVC,z-score,81.0268270120259,75.01001841057958,85.1999212285574,80.13594810781743,81.86664599963834
15,ConvNeXt_base+Morphological+HOG,sum,BUID,BrEaST,Rbf SVC,z-score,80.95238095238095,75.63159163267528,85.34367043746958,74.48979591836735,85.06493506493507
