,Descriptor,Train,Test,Classifier,Scaler,Acc.,Acc. CI_l,Acc. CI_u,Sens.,Spec.
0,Morphological,BrEaST,BrEaST,Rbf SVC,z-score,73.05098039215686,67.20946059385547,78.13111889420095,51.89473684210526,86.38709677419355
1,Morphological,BrEaST,BUID,Rbf SVC,z-score,71.55172413793103,65.55269299036306,76.66094998127568,64.22764227642277,79.81651376146789
2,Morphological,BUID,BUID,Rbf SVC,z-score,78.02035152636448,72.23659133049844,82.88518439547201,76.0189746396643,80.38919136922766
3,Morphological,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,70.86078391074821,81.716909858639,75.51020408163265,77.92207792207793
4,DCF,BrEaST,BrEaST,Rbf SVC,z-score,69.43529411764706,63.082513621564175,74.44072457544804,69.15789473684211,69.50537634408602
5,DCF,BrEaST,BUID,Rbf SVC,z-score,62.5,56.172721358437585,68.06103664379948,55.28455284552846,70.64220183486239
6,DCF,BUID,BUID,Rbf SVC,z-score,67.27104532839962,60.957607277054024,72.96348547738934,68.70096697682904,68.74676346037508
7,DCF,BUID,BrEaST,Rbf SVC,z-score,55.952380952380956,49.16979082679101,61.854564318403085,66.3265306122449,49.35064935064935
8,FDTA,BrEaST,BrEaST,Rbf SVC,z-score,75.03529411764707,69.29238192122243,79.95686821235611,58.15789473684211,85.72043010752687
9,FDTA,BrEaST,BUID,Rbf SVC,z-score,68.10344827586206,61.85384133551297,73.32419447418599,52.03252032520326,86.23853211009175
10,FDTA,BUID,BUID,Rbf SVC,z-score,71.9981498612396,65.87109658487141,77.37829667704386,75.67141032658273,67.97128453317201
11,FDTA,BUID,BrEaST,Rbf SVC,z-score,70.63492063492063,64.07613309801418,75.78115088845678,64.28571428571429,74.67532467532467
12,Gabor,BrEaST,BrEaST,Rbf SVC,z-score,74.23529411764706,68.4575668189249,79.2282150564448,71.26315789473685,76.0215053763441
13,Gabor,BrEaST,BUID,Rbf SVC,z-score,65.94827586206897,59.815131239159236,71.4542339250176,67.47967479674797,64.22018348623854
14,Gabor,BUID,BUID,Rbf SVC,z-score,64.67160037002775,58.30618591747877,70.5267429237981,67.32530560116767,64.75571687840291
15,Gabor,BUID,BrEaST,Rbf SVC,z-score,61.50793650793651,54.800116025033674,67.24859426535453,74.48979591836735,53.246753246753244
16,HOG,BrEaST,BrEaST,Rbf SVC,z-score,75.80392156862746,70.12946934624256,80.68324904554483,66.21052631578948,81.8279569892473
17,HOG,BrEaST,BUID,Rbf SVC,z-score,73.27586206896551,67.20946059385547,78.13111889420095,83.73983739837398,61.46788990825688
18,HOG,BUID,BUID,Rbf SVC,z-score,75.88344125809436,69.94733196575974,80.9343071659053,77.82338989235541,72.37281710022184
19,HOG,BUID,BrEaST,Rbf SVC,z-score,71.42857142857143,64.97239496700051,76.58094365719262,47.95918367346938,86.36363636363636
20,LBP-8-1-nri-uniform,BrEaST,BrEaST,Rbf SVC,z-score,68.24313725490197,61.85384133551297,73.32419447418599,54.78947368421052,76.55913978494623
21,LBP-8-1-nri-uniform,BrEaST,BUID,Rbf SVC,z-score,62.5,56.172721358437585,68.06103664379948,56.09756097560976,69.72477064220183
22,LBP-8-1-nri-uniform,BUID,BUID,Rbf SVC,z-score,62.525439407955595,56.11109413416365,68.48169811280779,69.28297755883963,59.35107884654165
23,LBP-8-1-nri-uniform,BUID,BrEaST,Rbf SVC,z-score,67.85714285714286,61.40141082145786,73.36770925184658,59.183673469387756,73.37662337662337
24,LBP-8-2-nri-uniform,BrEaST,BrEaST,Rbf SVC,z-score,75.41176470588236,69.71063721611733,80.32034704656564,70.31578947368422,78.58064516129032
25,LBP-8-2-nri-uniform,BrEaST,BUID,Rbf SVC,z-score,69.39655172413794,63.082513621564175,74.44072457544804,74.79674796747967,63.30275229357798
26,LBP-8-2-nri-uniform,BUID,BUID,Rbf SVC,z-score,67.2895467160037,60.957607277054024,72.96348547738934,75.37493158182812,60.68086307723332
27,LBP-8-2-nri-uniform,BUID,BrEaST,Rbf SVC,z-score,73.01587301587301,66.77230301622147,78.17314488341599,56.12244897959183,83.76623376623377
28,ConvNeXt_base,BrEaST,BrEaST,Rbf SVC,z-score,77.45882352941176,71.81075672413158,82.12889818407348,67.42105263157893,83.80645161290323
29,ConvNeXt_base,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,73.07827312687705,83.20658416864129,69.10569105691057,89.90825688073394
30,ConvNeXt_base,BUID,BUID,Rbf SVC,z-score,79.32469935245143,73.61951463980282,84.0463430427509,76.83908045977012,82.57592256503328
31,ConvNeXt_base,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,70.86078391074821,81.716909858639,64.28571428571429,85.06493506493507
32,EfficientNet_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,74.24313725490195,68.4575668189249,79.2282150564448,57.105263157894726,85.0752688172043
33,EfficientNet_V2_s,BrEaST,BUID,Rbf SVC,z-score,71.12068965517241,65.13977331837019,76.29213552416415,53.65853658536586,90.82568807339449
34,EfficientNet_V2_s,BUID,BUID,Rbf SVC,z-score,73.2932469935245,67.22386742058931,78.56960779790924,70.35577449370552,76.90340794515024
35,EfficientNet_V2_s,BUID,BrEaST,Rbf SVC,z-score,77.38095238095238,71.31862165806652,82.10709943018179,57.14285714285714,90.25974025974025
36,MobileNet_V2,BrEaST,BrEaST,Rbf SVC,z-score,72.25882352941177,66.38004629166507,77.39706493818252,46.94736842105263,88.27956989247312
37,MobileNet_V2,BrEaST,BUID,Rbf SVC,z-score,62.93103448275862,56.575757241616955,68.43973488972453,35.77235772357724,93.57798165137615
38,MobileNet_V2,BUID,BUID,Rbf SVC,z-score,73.27474560592044,66.77230301622147,78.17314488341599,62.09633278598796,87.7552732405727
39,MobileNet_V2,BUID,BrEaST,Rbf SVC,z-score,75.0,69.0367579699104,80.14882652403247,50.0,90.9090909090909
40,ResNet50,BrEaST,BrEaST,Rbf SVC,z-score,73.88235294117648,68.04099037916092,78.86305736710437,47.89473684210526,90.25806451612904
41,ResNet50,BrEaST,BUID,Rbf SVC,z-score,66.8103448275862,60.62927834275372,72.20355507963198,44.71544715447154,91.74311926605505
42,ResNet50,BUID,BUID,Rbf SVC,z-score,72.87696577243292,66.77230301622147,78.17314488341599,62.72942893632549,85.53305101835048
43,ResNet50,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,70.86078391074821,81.716909858639,59.183673469387756,88.31168831168831
44,Swin_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,78.21960784313727,72.6551211012207,82.84800206519323,69.42105263157895,83.78494623655914
45,Swin_V2_s,BrEaST,BUID,Rbf SVC,z-score,75.43103448275862,69.71063721611733,80.32034704656564,66.66666666666666,85.3211009174312
46,Swin_V2_s,BUID,BUID,Rbf SVC,z-score,75.87419056429233,69.94733196575974,80.9343071659053,73.71373836891078,81.106190764267
47,Swin_V2_s,BUID,BrEaST,Rbf SVC,z-score,77.38095238095238,71.31862165806652,82.10709943018179,75.51020408163265,78.57142857142857
48,intensity-based,BrEaST,BrEaST,Rbf SVC,z-score,69.87450980392155,63.90397157968657,75.1827348755345,52.26315789473684,81.2258064516129
49,intensity-based,BrEaST,BUID,Rbf SVC,z-score,60.3448275862069,54.163645027158466,66.1614423295565,37.39837398373984,86.23853211009175
50,intensity-based,BUID,BUID,Rbf SVC,z-score,62.44218316373728,55.67360181410358,68.07116311400677,74.73935340022297,48.81422924901185
51,intensity-based,BUID,BrEaST,Rbf SVC,z-score,57.14285714285714,50.461948728360476,63.10648837341688,47.95918367346938,62.98701298701299
52,intensity-histogram,BrEaST,BrEaST,Rbf SVC,z-score,66.65098039215687,60.221984525837335,71.82911476744394,48.99999999999999,77.95698924731182
53,intensity-histogram,BrEaST,BUID,Rbf SVC,z-score,54.741379310344826,48.19544681033451,60.40362860981413,22.76422764227642,90.82568807339449
54,intensity-histogram,BUID,BUID,Rbf SVC,z-score,65.52266419981498,59.187854317519886,71.34112916147913,73.12876254180601,56.679841897233196
55,intensity-histogram,BUID,BrEaST,Rbf SVC,z-score,65.87301587301587,59.187854317519886,71.34112916147913,28.57142857142857,89.6103896103896
56,GLCM,BrEaST,BrEaST,Rbf SVC,z-score,74.21176470588235,68.4575668189249,79.2282150564448,66.26315789473684,79.24731182795699
57,GLCM,BrEaST,BUID,Rbf SVC,z-score,53.879310344827594,47.406201205202265,59.629405956737514,32.52032520325203,77.98165137614679
58,GLCM,BUID,BUID,Rbf SVC,z-score,63.7650323774283,56.98759403189361,69.30125285279999,75.59253065774804,50.38772821381517
59,GLCM,BUID,BrEaST,Rbf SVC,z-score,61.904761904761905,55.23661015497565,67.6601274542736,39.795918367346935,75.97402597402598
60,GLRLM,BrEaST,BrEaST,Rbf SVC,z-score,66.29019607843138,60.221984525837335,71.82911476744394,39.73684210526316,83.0967741935484
61,GLRLM,BrEaST,BUID,Rbf SVC,z-score,52.58620689655172,46.22516062090424,58.46524415372228,23.577235772357724,85.3211009174312
62,GLRLM,BUID,BUID,Rbf SVC,z-score,61.609620721554116,54.800116025033674,67.24859426535453,64.94827201783724,57.71127423301336
63,GLRLM,BUID,BrEaST,Rbf SVC,z-score,59.12698412698413,52.625008620032595,65.18356507605017,19.387755102040817,84.4155844155844
64,NGTDM,BrEaST,BrEaST,Rbf SVC,z-score,66.27450980392156,60.221984525837335,71.82911476744394,40.68421052631579,82.51612903225806
65,NGTDM,BrEaST,BUID,Rbf SVC,z-score,52.1551724137931,45.832232363681435,58.07643828184068,31.70731707317073,75.22935779816514
66,NGTDM,BUID,BUID,Rbf SVC,z-score,61.1840888066605,54.36411643718218,66.83656653434493,83.44414715719063,35.61453039713909
67,NGTDM,BUID,BrEaST,Rbf SVC,z-score,64.68253968253968,58.30618591747877,70.5267429237981,69.38775510204081,61.68831168831169
68,GLSZM,BrEaST,BrEaST,Rbf SVC,z-score,68.67450980392157,62.672492299584384,74.0690117683234,48.94736842105263,81.16129032258065
69,GLSZM,BrEaST,BUID,Rbf SVC,z-score,60.775862068965516,54.56465412514548,66.54216736067389,54.47154471544715,67.88990825688074
70,GLSZM,BUID,BUID,Rbf SVC,z-score,59.037927844588346,52.19144174411954,64.76910463310215,64.68093645484949,52.13062300018822
71,GLSZM,BUID,BrEaST,Rbf SVC,z-score,60.317460317460316,53.49358963994765,66.01103869385729,21.428571428571427,85.06493506493507
