CaseID,Image_filename,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49
102 Malignant,102 Malignant_img.png,1363.0596,-0.4985558,-3.8579893,-0.045865282,0.5702746,1.0517657,0.0032562877,-0.0012954819,0.0002859986,0.00021392746,-4.575391,-0.0005489147,0.007115494,-3.6383684e-05,-0.0010557838,0.105135776,0.0003538857,-0.00013488493,3.116007e-05,2.7117605e-05,0.6709892,-2.233214e-05,-0.0009948306,5.062641e-06,0.00014043805,882.2012,87.17983,41.39987,28.520802,24.12988,111.711876,19.671396,6.649251,2.5005195,1.7739825,57.793518,11.094399,4.0169787,1.7195354,1.2695223,34.03266,4.883379,2.2027364,1.2690742,1.0209997,26.675154,2.6971364,1.5253721,1.0636519,0.91574436
24 Benign,24 Benign_img.png,1558.0571,-1.4560589,-11.0844,-0.14111376,1.6291335,7.9418774,0.019208524,0.011098335,0.0019824104,-0.0016892195,-9.496389,-0.0017467861,0.053059448,-0.00031086514,-0.00774262,0.7556704,-0.0021319827,-0.000670556,-0.00042256122,-8.5630534e-05,1.4020219,0.0041903355,-0.006374205,0.0005847794,0.0010506631,827.57214,137.38165,64.59505,45.787136,38.685097,145.5777,27.53445,10.468503,4.4240236,3.3313317,73.733215,15.476208,6.1766834,2.72185,2.028385,44.599598,6.7391725,3.202799,1.8190104,1.3919307,35.342617,3.906121,2.1863234,1.4530282,1.18334
36 Benign,36 Benign_img.png,1046.2576,1.738303,-3.9273422,0.14156333,0.57582426,-0.40898213,-0.01339755,-0.004294301,-0.0012792234,0.00039703018,-9.097898,-0.016750153,0.016368203,-0.001521847,-0.0022708676,-0.052690536,-0.0014070458,-0.00015346476,-0.0001230799,-3.0726067e-06,1.4047909,0.0023232508,-0.002174657,0.00020636825,0.00027977748,821.43646,91.23387,38.186325,25.16367,20.92918,157.18365,25.15353,8.686636,3.6142583,2.5807312,75.69341,12.625773,4.939391,2.2649813,1.6707894,45.428963,5.2144604,2.5402262,1.5249047,1.1987424,36.76004,3.3000293,1.8424655,1.2668684,1.0552115
106 Malignant,106 Malignant_img.png,1452.5947,-1.1985064,-3.1855044,-0.1140067,0.47442102,-0.6088691,0.00074452854,0.0010042723,0.00021691555,-0.00021681475,-4.900372,0.0036473172,0.0065906583,0.00028343336,-0.0009526439,-0.034400698,0.000116517105,-0.00011930888,4.6627298e-05,2.2595907e-06,0.69834673,-0.00052633835,-0.0008301941,-5.4606986e-05,0.00012775639,790.7951,86.48611,37.319653,24.681328,20.721416,136.68257,24.329916,8.160562,2.9228973,1.9803545,63.117035,13.369255,4.9111233,1.9769546,1.4066447,34.424923,5.85019,2.616093,1.417941,1.1015882,26.456923,3.2107747,1.7800648,1.1793913,0.9721276
23 Benign,23 Benign_img.png,1777.3148,-0.7953044,-14.001953,-0.073128805,2.125496,0.13754536,0.06527207,0.0104340715,0.005336167,-0.0019836896,-15.47991,-0.021088568,0.096211225,-0.0021843119,-0.014498337,0.55255175,0.006125529,0.004342951,0.0004259688,-0.0007384889,2.6590543,0.0018645513,-0.014145174,0.0002812665,0.0020703035,695.50836,153.57318,74.67413,52.347004,43.751682,203.91951,32.597008,12.448966,5.520771,4.0615597,103.6692,16.598001,6.7354693,3.0273042,2.2414777,59.907043,7.123528,3.3628473,1.9171321,1.5455693,47.111458,4.4180613,2.4557755,1.572367,1.2733251
34 Malignant,34 Malignant_img.png,2944.8374,-0.29326177,-12.14912,-0.03597021,1.7836949,4.213196,0.0044634836,-0.018166825,0.00038323653,0.0026452146,-8.079877,-0.006432457,0.032963097,-0.0005498422,-0.004782767,0.3455101,0.00058314536,-0.0017842342,7.5679076e-05,0.0002840024,1.2305728,0.001154565,-0.0049173865,0.00010676551,0.00070832507,763.59955,158.71114,79.41286,57.531975,48.754433,149.63603,22.316507,7.95936,3.5557497,2.6673958,74.010254,12.677782,4.904761,2.1878393,1.6189333,46.167503,6.1324134,2.8351564,1.5656904,1.2297689,37.017075,3.5503132,1.9435143,1.2907562,1.068185
38 Malignant,38 Malignant_img.png,2109.0266,-3.816391,-12.603482,-0.4090085,1.8769338,-1.612567,0.030158397,-0.0038336196,0.0014057409,0.0011795791,-13.2760935,-0.025203766,0.06438655,-0.0015082434,-0.009802026,-0.06917685,0.0029635374,-0.0013083435,0.000107288404,0.00032819028,1.9061149,0.0033954405,-0.008707342,0.00019959456,0.0012935972,736.65497,151.43304,73.021706,51.810875,43.64983,180.05414,28.527805,10.452987,4.8043714,3.6576402,86.243225,14.06203,5.5354967,2.6616955,1.9983333,54.249794,5.4902096,2.8190696,1.7347628,1.381277,44.857555,3.58916,2.0875807,1.4648508,1.1915737
15 Malignant,15 Malignant_img.png,1881.8811,-0.5549195,-3.9951086,-0.051633056,0.5792792,2.9386182,0.0019349792,-0.0013847462,5.7967616e-05,0.00027891356,-4.052787,0.00011590255,0.0055674603,6.310534e-05,-0.0008553334,0.27330092,0.00016656805,-8.718824e-05,5.748321e-06,2.2670964e-05,0.5883635,-2.6784595e-05,-0.00078262965,-3.823887e-06,0.0001184454,1229.8566,99.27332,45.264027,31.806162,26.844885,125.61142,22.12954,7.3428307,2.7531936,1.9453676,61.263817,12.432947,4.478583,1.8778214,1.3735603,35.32105,5.6241846,2.4904337,1.369348,1.0802889,26.975182,3.058594,1.700765,1.1346557,0.9495598
44 Malignant,44 Malignant_img.png,2781.9663,-0.35998452,-5.126696,-0.032766663,0.7481106,0.6394908,0.0014218856,-8.1479506e-05,0.00015329679,7.467041e-05,-4.2599688,0.0004338082,0.006879786,2.8415845e-05,-0.0010342303,0.056692977,-1.5470532e-05,6.371692e-05,7.284904e-06,4.636354e-06,0.6266881,-0.00012439565,-0.00095897366,-7.801396e-06,0.0001409791,918.2665,114.678085,54.40918,38.457577,32.53899,123.956955,22.253014,7.2187395,2.6442227,1.7970867,61.82597,12.124483,4.294538,1.7655293,1.2532296,35.125305,5.318225,2.3547606,1.2906905,1.0168111,26.703606,2.9371922,1.6443298,1.1036422,0.9206311
45 Benign,45 Benign_img.png,1957.6237,0.72741246,-4.5382104,0.06985152,0.6528018,-2.0968916,-0.011997618,0.0019455409,-0.0011301049,-0.0003190189,-5.7075043,-0.0008877712,0.011315025,-5.3975316e-05,-0.0016283253,-0.13805358,-0.0010425359,-2.9895022e-05,-9.516069e-05,5.884711e-06,0.78703964,0.0002446323,-0.0015493502,2.2870532e-05,0.00021934682,833.06,113.67792,46.05756,30.254671,25.163708,163.8815,30.50334,10.197059,3.8276656,2.585115,69.28177,14.672909,5.4930177,2.373272,1.6719553,35.894207,5.537202,2.718195,1.6165124,1.2553903,27.674627,3.2920413,1.9014544,1.3266331,1.091315
