CaseID,Feature__INTENSITY-BASED_MeanIntensity(IBSI:Q4LE)[],Feature__INTENSITY-BASED_IntensityVariance(IBSI:ECT3)[],Feature__INTENSITY-BASED_IntensitySkewness(IBSI:KE2A)[],Feature__INTENSITY-BASED_IntensityKurtosis(IBSI:IPH6)[],Feature__INTENSITY-BASED_MedianIntensity(IBSI:Y12H)[],Feature__INTENSITY-BASED_MinimumIntensity(IBSI:1GSF)[],Feature__INTENSITY-BASED_10thIntensityPercentile(IBSI:QG58)[],Feature__INTENSITY-BASED_25thIntensityPercentile(IBSI:No)[],Feature__INTENSITY-BASED_50thIntensityPercentile(IBSI:Y12H)[],Feature__INTENSITY-BASED_75thIntensityPercentile(IBSI:No)[],Feature__INTENSITY-BASED_90thIntensityPercentile(IBSI:8DWT)[],Feature__INTENSITY-BASED_StandardDeviation(IBSI:No)[],Feature__INTENSITY-BASED_MaximumIntensity(IBSI:84IY)[],Feature__INTENSITY-BASED_IntensityInterquartileRange(IBSI:SALO)[],Feature__INTENSITY-BASED_IntensityRange(IBSI:2OJQ)[],Feature__INTENSITY-BASED_IntensityBasedMeanAbsoluteDeviation(IBSI:4FUA)[],Feature__INTENSITY-BASED_IntensityBasedRobustMeanAbsoluteDeviation(IBSI:1128)[],Feature__INTENSITY-BASED_IntensityBasedMedianAbsoluteDeviation(IBSI:N72L)[],Feature__INTENSITY-BASED_IntensityBasedCoefficientOfVariation(IBSI:7TET)[],Feature__INTENSITY-BASED_IntensityBasedQuartileCoefficientOfDispersion(IBSI:9S40)[],Feature__INTENSITY-BASED_AreaUnderCurveCIVH(IBSI:No)[],Feature__INTENSITY-BASED_IntensityBasedEnergy(IBSI:N8CA)[],Feature__INTENSITY-BASED_RootMeanSquareIntensity(IBSI:5ZWQ)[]
1 Benign,154.5925967,1810.5278424417525,-0.846439607,0.3070104249815464,165.0,0.0,93.0,127.0,165.0,188.0,201.0,42.55029779,240.0,61.0,240.0,35.00927565132331,25.912600468371483,34.176485321528425,0.2752414973654285,0.1936507936507936,583.4669734389593,4413789585.0,160.34150677310103
1 Malignant,107.31854098491544,1360.185785212626,0.35747337187885,-0.729335065,101.0,13.0,64.0,79.0,101.0,134.0,163.0,36.88069665,203.0,55.0,190.0,30.96633322703981,23.55580187210832,30.672998643147896,0.3436563366323477,0.2582159624413145,321.5223306927963,322683268.0,113.47887479325622
2 Benign,145.09247650105635,2963.996497012897,-0.484685099,-0.8153942,155.0,0.0,66.0,102.0,155.0,193.0,209.0,54.44259818389362,241.0,91.0,241.0,46.74079368642882,36.68071649398455,46.22492230961059,0.375226886,0.3084745762711864,550.1189932620726,6259724326.0,154.9703947024145
2 Malignant,111.35279401968774,1428.5140827492855,0.0550805425235384,-0.622061552,113.0,13.0,59.0,83.0,113.0,136.0,163.0,37.79568867938889,222.0,53.0,209.0,30.84286758725855,22.85163597,30.797587151210124,0.339422903683103,0.2420091324200913,366.88053322294536,934147758.0,117.59234166705026
3 Benign,126.95715423452614,1191.1477517841377,0.1370333483453033,-0.731624586,124.0,0.0,83.0,101.0,124.0,155.0,175.0,34.513008442964484,230.0,54.0,230.0,28.634221314466277,21.592768831705868,28.509436443743013,0.2718476847646497,0.2109375,459.8399574300556,2368998177.0,131.5646866112388
3 Malignant,126.58515590689532,1734.920130992366,0.1272353925321402,-1.034753173,124.0,13.0,73.0,92.0,124.0,163.0,184.0,41.65237245334731,224.0,71.0,211.0,35.78982105719421,28.38572432900101,35.72920509442248,0.329046263,0.2784313725490196,420.5834441562429,808732192.0,133.26185435812195
4 Benign,109.88129859102668,2721.8059672896857,0.3830109408961044,-0.583034717,102.0,0.0,46.0,73.0,102.0,142.0,190.0,52.17093028967076,240.0,69.0,240.0,42.24794343538022,30.31413917664836,41.883102926738665,0.4747935359214186,0.3209302325581395,415.76889908984856,1115211525.0,121.63760005582128
4 Malignant,100.62514452386004,2530.6213211899653,-0.066893625,-1.161692456,102.0,0.0,28.0,56.0,102.0,145.0,166.0,50.30528124551105,207.0,89.0,207.0,43.74192937,36.17729524778372,43.72071421063696,0.4999275427980405,0.4427860696517413,328.68498787148474,963276595.0,112.49907124788892
5 Benign,123.01281210531435,1747.9350709611797,-0.052338083,-0.741745526,121.0,0.0,69.0,92.0,121.0,159.0,181.0,41.80831341923732,213.0,67.0,213.0,34.2690308,26.12111708867794,34.20954775089867,0.3398695851570661,0.2669322709163346,412.6955430495833,1389973885.0,129.923389
5 Malignant,168.32945736434198,914.7556889737916,-0.472031646,-0.107679015,171.0,61.0,129.0,148.0,171.0,191.0,208.0,30.244928318212157,233.0,43.0,172.0,24.310389489159093,17.717900852980055,24.198883940843366,0.1796769786570884,0.1268436578171091,455.055629432625,1064040563.0,171.02503297923175
