CaseID,Feature__INTENSITY-HISTOGRAM_IntensityHistogramMean(IBSI:X6K6)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramVariance(IBSI:CH89)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramSkewness(IBSI:88K1)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramKurtosis(IBSI:C3I7)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMedian(IBSI:WIFQ)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogram10thPercentile(IBSI:GPMT)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram25thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram50thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram75thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram90thPercentile(IBSI:OZ0C)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogramStd(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMode(IBSI:AMMC)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramInterquartileRange(IBSI:WR0O)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMeanAbsoluteDeviation(IBSI:D2ZX)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramRobustMeanAbsoluteDeviation(IBSI:WRZB)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMedianAbsoluteDeviation(IBSI:4RNL)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramCoefficientOfVariation(IBSI:CWYJ)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramQuartileCoefficientOfDispersion(IBSI:SLWD)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog10(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog2(IBSI:TLU2)[Intensity],Feature__INTENSITY-HISTOGRAM_AreaUnderCurveCIVH(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_Uniformity(IBSI:BJ5W)[Intensity],Feature__INTENSITY-HISTOGRAM_RootMeanSquare(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_MaximumHistogramGradient(IBSI:12CE)[Intensity],Feature__INTENSITY-HISTOGRAM_MaximumHistogramGradientGreyLevel(IBSI:8E6O)[Intensity],Feature__INTENSITY-HISTOGRAM_MinimumHistogramGradient(IBSI:VQB3)[Intensity],Feature__INTENSITY-HISTOGRAM_MinimumHistogramGradientGreyLevel(IBSI:RHQZ)[Intensity]
1 Benign,41.77341566,128.3402951366428,-0.842863853,0.2917282089643098,45.0,25.0,34.0,45.0,51.0,54.0,11.328737579123404,51.0,17.0,9.322461713282747,7.122091543450359,9.101700838769805,0.2711949071182833,0.2,1.604275226624052,5.329286947254228,156.65030871388743,0.0295862640723242,0.000415131044617308,1593.0,46.0,-1667.0,55.0
1 Malignant,32.24263708196979,154.37747491985164,0.359922011647155,-0.757038317,30.0,18.0,23.0,30.0,41.0,51.0,12.424873235564684,21.0,18.0,10.491437175991429,8.091813082987107,10.37345358767659,0.3853553666834752,0.28125,1.6584477525474155,5.509244183090064,95.72032883709755,0.024999073,0.0009988234947346235,356.5,20.0,-162.0,31.0
2 Benign,39.04740456550933,208.61957517432492,-0.480759331,-0.827118208,42.0,18.0,28.0,42.0,52.0,56.0,14.443669034366753,54.0,24.0,12.411974535298045,9.81488307,12.270170727028582,0.3699008729283092,0.3,1.693370521152357,5.625255109270069,147.03788281699647,0.0224843465271805,0.0002937049529295225,2523.0,53.0,-2598.0,59.0
2 Malignant,30.643224039671228,133.21970225452282,0.0585943646854219,-0.616654736,31.0,15.0,22.0,31.0,38.0,46.0,11.54208396497456,31.0,16.0,9.406131848216848,6.968897719729403,9.390008141514322,0.3766602349032198,0.2666666666666666,1.6438375365211817,5.460710096000144,100.06927850455132,0.025717845,0.0006170047959688388,705.5,30.0,-485.5,39.0
3 Benign,35.84154957877627,92.6974116,0.1247319960843902,-0.72608702,35.0,24.0,29.0,35.0,44.0,49.0,9.627949501,34.0,15.0,7.982674549523532,6.071081091293919,7.946537778654567,0.2686253695670888,0.2054794520547945,1.5683558117866114,5.209965233953819,128.8055687987248,0.030669855,0.0004733831885728,1049.0,31.0,-1426.0,34.0
3 Malignant,34.955665349143736,159.64926412691736,0.1316639673813318,-1.042551312,34.0,19.0,24.0,34.0,46.0,52.0,12.635238981788882,31.0,22.0,10.86572634461707,8.629490345121232,10.840250329380764,0.3614646969407032,0.3142857142857143,1.6694679502899663,5.545852487582254,115.244459197957,0.0232766977791896,0.0007149310690180492,381.5,13.0,-328.0,32.0
4 Benign,29.86754053121752,193.1100581720988,0.3820857013979035,-0.580399492,28.0,13.0,20.0,28.0,38.0,51.0,13.896404505198417,23.0,18.0,11.255315205775563,8.119629123526114,11.16236367978348,0.4652677876396922,0.3103448275862069,1.6921502806188915,5.621201558,112.0032769920651,0.022998849696872,0.000552385507543022,736.0,10.0,-696.0,16.0
4 Malignant,31.60580460374153,242.0483492159722,-0.064767561,-1.167387273,32.0,9.0,18.0,32.0,45.0,52.0,15.55790311115133,7.0,27.0,13.531244578296326,11.364167168346109,13.521507778011353,0.4922482849656537,0.4285714285714285,1.699495946297245,5.645603331152001,102.2250242652276,0.021287569,0.0005288548223253438,1320.0,4.0,-812.0,13.0
5 Benign,37.43315845720381,158.36709540644742,-0.056625203,-0.741767826,37.0,21.0,28.0,37.0,48.0,55.0,12.58439888935691,37.0,20.0,10.310692191451928,8.065452963,10.291775964247549,0.336183197,0.2631578947368421,1.6514099167195366,5.485864998526229,124.58223049038298,0.0251772042645106,0.0005529524310902859,820.5,36.0,-828.0,41.0
5 Malignant,40.43622519,126.73573430213372,-0.474762101,-0.102648147,41.0,26.0,33.0,41.0,49.0,55.0,11.257696669485002,44.0,16.0,9.0583396211968,6.598234451,9.016960800483808,0.2784062215574166,0.1951219512195122,1.6317340713145905,5.420503254884878,108.67235520094584,0.0268826985862438,0.0008596408047016077,501.0,40.0,-392.0,38.0
