CaseID,Feature__GLCM_JointMaximum(IBSI:GYBY),Feature__GLCM_JointAverage(IBSI:60VM),Feature__GLCM_JointVariance(IBSI:UR99),Feature__GLCM_JointEntropyLog2(IBSI:TU9B),Feature__GLCM_JointEntropyLog10(IBSI:No),Feature__GLCM_DifferenceAverage(IBSI:TF7R),Feature__GLCM_DifferenceVariance(IBSI:D3YU),Feature__GLCM_DifferenceEntropy(IBSI:NTRS),Feature__GLCM_SumAverage(IBSI:ZGXS),Feature__GLCM_SumVariance(IBSI:OEEB),Feature__GLCM_SumEntropy(IBSI:P6QZ),Feature__GLCM_AngularSecondMoment(IBSI:8ZQL),Feature__GLCM_Contrast(IBSI:ACUI),Feature__GLCM_Dissimilarity(IBSI:8S9J),Feature__GLCM_InverseDifference(IBSI:IB1Z),Feature__GLCM_NormalisedInverseDifference(IBSI:NDRX),Feature__GLCM_InverseDifferenceMoment(IBSI:WF0Z),Feature__GLCM_NormalisedInverseDifferenceMoment(IBSI:1QCO),Feature__GLCM_InverseVariance(IBSI:E8JP),Feature__GLCM_Correlation(IBSI:NI2N),Feature__GLCM_Autocorrelation(IBSI:QWB0),Feature__GLCM_ClusterTendency(IBSI:DG8W),Feature__GLCM_ClusterShade(IBSI:7NFM),Feature__GLCM_ClusterProminence(IBSI:AE86)
1,0.039618086,26.89978783,108.123503,8.008547942,2.410813152,1.356877378,4.075418754,8.002952831,53.79957565,426.5774771,8.00247593,0.00876358,5.916534972,1.356877378,0.617687585,0.980065572,0.578282437,0.998610444,0.372066689,0.972639922,828.7638206,426.5774771,5511.3739,522042.4738
2,0.043813623,25.34153831,205.2371732,8.534139375,2.569031939,1.63619218,3.966248701,8.523345934,50.68307663,814.3053192,8.53171292,0.005905301,6.643373552,1.63619218,0.566621081,0.975915209,0.51431522,0.998398409,0.344027667,0.983815375,844.1090505,814.3053192,11371.60019,1522463.086
3,0.023778991,29.60508187,119.4414663,8.370809356,2.519864704,1.655810644,5.541316619,8.344757708,59.21016374,469.4828396,8.343831778,0.006314225,8.283025507,1.655810644,0.579538841,0.975899754,0.533208777,0.998045806,0.361070781,0.965326005,991.760826,469.4828396,5103.214246,633144.5519
4,0.024625459,29.51604069,117.938565,8.377156598,2.521775414,1.681001777,5.797736607,8.351278405,59.03208137,463.1307566,8.350954397,0.006321522,8.623503581,1.681001777,0.576648898,0.975566893,0.52968144,0.997975515,0.359365866,0.963440697,984.823471,463.1307566,5225.655319,633139.427
5,0.021184427,31.83009505,239.5028541,8.562387389,2.577535439,1.419320051,2.599403742,8.533341668,63.66019009,953.3975433,8.520156193,0.004478512,4.613873149,1.419320051,0.584378443,0.97887535,0.537299171,0.998880764,0.37536015,0.990367812,1250.350868,953.3975433,4192.656021,1613042.055
6,0.266262202,23.34962509,361.7708658,6.858186856,2.064519959,0.773647185,1.828829493,6.820716459,46.69925018,1444.656104,6.795700752,0.073901032,2.427359461,0.773647185,0.747928692,0.988448007,0.723359684,0.999424114,0.275728219,0.99664517,905.762178,1444.656104,15415.92506,3664193.03
7,0.026085714,31.65284018,216.5283718,8.243058433,2.481407844,1.128102797,2.563038674,8.211494532,63.30568037,862.2778328,8.169739239,0.006209283,3.835654596,1.128102797,0.658492845,0.983236582,0.6252654,0.999073592,0.357916568,0.991142836,1216.512836,862.2778328,2270.512978,1408352.802
8,0.039072598,28.86109037,97.12475171,7.954275846,2.394475624,1.255734046,2.516064899,7.949274134,57.72218074,384.4060739,7.948581356,0.008531946,4.092932893,1.255734046,0.620599128,0.981308024,0.581873921,0.999008578,0.382556858,0.978929507,928.0408227,384.4060739,3918.271034,449256.799
9,0.023449183,28.56792623,249.5923219,8.163519957,2.457464377,1.018030095,1.959658493,8.15917282,57.13585245,995.3732439,8.156280482,0.006016578,2.996043766,1.018030095,0.672800832,0.984776052,0.64163619,0.999274215,0.358383808,0.993998125,1064.220709,995.3732439,12.34553485,1688116.358
10,0.031463256,32.32325492,220.4299606,8.224153341,2.475716845,1.047243128,1.672592219,8.196311063,64.64650983,878.950532,8.180580877,0.005653713,2.769310387,1.047243128,0.649438625,0.984274222,0.616053087,0.999327405,0.392034501,0.993718389,1263.838114,878.950532,584.9005755,1461008.447
11,0.029929412,27.2014521,172.309454,8.447738429,2.543022663,1.416067227,2.911728399,8.418105399,54.4029042,684.3208413,8.408338414,0.005668209,4.91697479,1.416067227,0.600434124,0.978989847,0.554841847,0.998808564,0.34861844,0.985732139,909.769963,684.3208413,5220.736492,1159693.173
12,0.569513598,11.53730213,246.5322386,4.67831306,1.40831256,0.802061157,3.363930406,4.673121127,23.07460425,982.121722,4.673353411,0.325339566,4.007232505,0.802061157,0.803804175,0.988314271,0.779381082,0.999078565,0.140647501,0.991872802,377.6379627,982.121722,41390.43478,3470140.2
13,0.52932219,13.54150436,294.36268,5.211480745,1.568812026,0.950642751,3.654851914,5.202849688,27.08300871,1172.892146,5.197702542,0.281071998,4.558573553,0.950642751,0.777233495,0.986150821,0.749292949,0.998904296,0.15006627,0.992256876,475.4557334,1172.892146,45061.65809,4019149.745
14,0.536189971,11.93224437,245.3276218,4.958238479,1.492578508,0.773185277,2.71770741,4.939291813,23.86448873,977.9949642,4.935667343,0.288838833,3.315522883,0.773185277,0.801005304,0.988653656,0.776831332,0.999202252,0.153441899,0.993242663,386.048316,977.9949642,40412.59478,3491866.007
15,0.228186048,22.9929015,355.2706512,7.44212622,2.240303224,1.167128476,3.196269201,7.408618308,45.985803,1416.524147,7.386747588,0.055380606,4.55845808,1.167128476,0.683774767,0.982783673,0.647174797,0.998899725,0.266549419,0.993584528,881.6649414,1416.524147,20628.09171,3800001.898
16,0.02005428,32.53544298,81.9838832,8.036054295,2.41909339,1.343797653,2.782336183,8.026400816,65.07088597,323.3474045,8.018965719,0.00663558,4.588128314,1.343797653,0.600998005,0.980038399,0.559609127,0.998890757,0.394119477,0.972018108,1138.244869,323.3474045,1145.392673,288708.1705
17,0.129406459,27.38250586,368.1487876,7.65772263,2.30520421,0.892653798,2.127517024,7.588829139,54.76501173,1469.670803,7.545520291,0.021690386,2.924347826,0.892653798,0.718972044,0.986707307,0.692087562,0.99929597,0.305473186,0.996028307,1116.488241,1469.670803,10644.54655,3752972.073
18,0.020200842,27.96009497,251.4686331,8.101042123,2.438656675,0.985081703,2.65842874,8.088367895,55.92018993,1002.245718,8.084116866,0.006320529,3.628814701,0.985081703,0.675023563,0.985359269,0.645341581,0.999183629,0.374592249,0.992784757,1031.421136,1002.245718,8726.579942,1733681.455
