CaseID,Feature__GLSZM_SmallZoneEmphasis(IBSI:5QRC),Feature__GLSZM_LargeZoneEmphasis(IBSI:48P8),Feature__GLSZM_LowGrayLevelZoneEmphasis(IBSI:XMSY),Feature__GLSZM_HighGrayLevelZoneEmphasis(IBSI:5GN9),Feature__GLSZM_SmallZoneLowGreyLevelEmphasis(IBSI:5RAI),Feature__GLSZM_SmallZoneHighGreyLevelEmphasis(IBSI:HW1V),Feature__GLSZM_LargeZoneLowGreyLevelEmphasis(IBSI:YH51),Feature__GLSZM_LargeZoneHighGreyLevelEmphasis(IBSI:J17V),Feature__GLSZM_GreyLevelNonUniformity(IBSI:JNSA),Feature__GLSZM_NormalisedGreyLevelNonUniformity(IBSI:Y1RO),Feature__GLSZM_ZoneSizeNonUniformity(IBSI:4JP3),Feature__GLSZM_NormalisedZoneSizeNonUniformity(IBSI:VB3A),Feature__GLSZM_ZonePercentage(IBSI:P30P),Feature__GLSZM_GreyLevelVariance(IBSI:BYLV),Feature__GLSZM_ZoneSizeVariance(IBSI:3NSA),Feature__GLSZM_ZoneSizeEntropy(IBSI:GU8N)
1,0.550532326,288.5795455,0.002417925,1060.08047,0.001077722,601.9940581,0.775784769,148018.5921,190.7888478,0.025209943,2165.437104,0.286130696,0.219642443,117.4817516,267.8510648,7.997043125
2,0.591205474,89.63977235,0.004347179,1023.730499,0.002016485,626.6022535,5.107992127,38750.58755,63.61399397,0.021296951,974.8875126,0.326376804,0.28447619,171.6261228,77.28291159,7.824658887
3,0.582123397,114.1372411,0.002263239,1031.782839,0.001342162,597.6116528,0.2472906,93857.6649,223.278484,0.026280424,2689.065913,0.316509641,0.263392857,119.9433082,99.72299228,7.868388259
4,0.583356207,111.3554273,0.002269432,1025.944573,0.001346628,597.3537219,0.241154475,91507.15104,228.8921478,0.026430964,2753.528868,0.317959454,0.266395964,119.1141099,97.26433305,7.853084849
5,0.537992775,88.98382829,0.002728079,1445.210526,0.00111447,797.6022506,0.396548479,72016.74831,66.83181417,0.019650636,932.2978536,0.274124626,0.245382395,203.0677571,72.37598658,8.181176797
6,0.493621707,87368.69677,0.002021588,1413.570838,0.000926,685.605712,86801.18286,479566.4181,342.0968212,0.020792367,3880.39622,0.235847336,0.11677739,178.0139421,87295.36664,8.646688686
7,0.579152542,669.6228834,0.001441384,1514.86865,0.000738,898.8900584,3.658869623,381941.3964,265.7241493,0.021841538,3807.377939,0.312952321,0.186761229,156.4075526,640.9529588,8.174697613
8,0.547230334,240.1933962,0.001956131,1146.793042,0.000839,666.3341406,0.497984248,169972.1913,175.7060731,0.02590007,1914.649175,0.282230126,0.21595467,113.735365,218.7509268,8.009839381
9,0.53603102,932.8912171,0.00212631,1420.419973,0.000841,772.0299827,44.89104751,313436.7607,375.9915292,0.02394698,4292.106936,0.273365196,0.169837853,142.4610712,898.2230391,8.267647925
10,0.510247916,292.4246766,0.001978244,1331.268259,0.000857,652.7870638,1.298824914,260496.9986,107.3239801,0.021358006,1240.677612,0.246901017,0.17474614,166.659255,259.6766739,8.397522194
11,0.605087421,233.4676105,0.003091463,1134.728014,0.001685713,692.6513849,1.972838265,76128.99292,102.4169884,0.021968466,1583.451308,0.339650645,0.24784689,159.5793624,217.1884107,7.933230657
12,0.613790788,151385.4006,0.005326418,875.2268689,0.002635062,517.8091871,151257.8624,253685.1369,166.7501708,0.022789418,2563.825475,0.350392986,0.124846437,166.8464919,151321.243,7.764033151
13,0.648647891,105281.7557,0.003822801,1077.770876,0.002225262,673.0658343,105191.8026,156506.5565,174.1359558,0.020029441,3385.767656,0.389437274,0.152955665,192.5749173,105239.0123,7.765149015
14,0.597046122,146090.6626,0.005126122,952.4149727,0.002481714,569.4858463,145894.4283,225390.6132,149.0089724,0.020890084,2373.922753,0.332808461,0.11850412,194.9269085,146019.4538,8.00100493
15,0.611727837,10579.20571,0.00283207,1313.649092,0.001414024,795.1664758,10297.3925,111255.1198,161.6253833,0.019064093,2943.882519,0.347237853,0.19552583,205.6104782,10553.04848,8.047681891
16,0.546731214,125.493938,0.001349935,1253.205875,0.000674,690.97646,0.182611236,117045.2061,246.7852646,0.028769558,2413.587083,0.281369443,0.237993508,93.08002769,107.8388543,7.92093368
17,0.548505558,9773.628503,0.001714126,1609.785551,0.000705,860.0396685,8641.067151,595561.0845,202.0701682,0.02097469,2726.671165,0.283025863,0.138183279,178.4427663,9721.257727,8.310044736
18,0.447964564,557.4204004,0.002599861,1253.149031,0.000951,592.7567371,12.75622901,417298.1991,185.9501112,0.019696019,1900.505561,0.201303417,0.141159056,203.3094106,507.234409,8.818687393
19,0.470957989,10086.74293,0.002423642,1489.815588,0.000975,664.5684779,9314.835079,562133.8309,240.4475876,0.019830729,2667.136742,0.219970041,0.126404787,202.4944522,10024.15754,8.738620788
20,0.559874211,186.180441,0.002200636,1140.912854,0.001148042,672.3560534,0.322941495,155399.9228,168.9514024,0.025341443,1960.907305,0.29412139,0.233201581,124.8840815,167.7923341,7.995205949
21,0.594060209,172.5825259,0.002945022,1203.636318,0.001480346,720.2571641,12.13168784,120908.4432,127.4360174,0.021289011,1961.55162,0.32768988,0.23981411,167.5729317,155.1944897,8.024698553
22,0.563152646,422.9760202,0.00384915,1134.683214,0.001335434,659.2287125,29.55140118,76186.47833,49.4097602,0.020786605,703.1085402,0.295796609,0.200929839,197.8648661,398.2068689,7.999193816
23,0.436010706,541.4688049,0.002540888,800.258816,0.000953,345.0956207,32.02687927,269196.5185,843.6128929,0.03365298,4822.565262,0.192379339,0.140063472,85.43242388,490.4946278,8.503498291
24,0.517909339,267.6551257,0.003413506,757.5878318,0.001554639,389.0826436,42.09084895,112955.8578,1111.936637,0.030147673,9455.249004,0.256357916,0.206975309,104.1903481,244.3117896,8.167692967
25,0.368208476,4133.909933,0.002990754,668.2337868,0.000948,248.4890926,3053.443341,287018.356,613.7538407,0.03598885,2564.22892,0.150359383,0.110239173,83.25146062,4051.623524,8.675555735
26,0.51642449,1347.935645,0.002439252,848.0702921,0.001088368,437.531572,796.7198472,96104.86102,1018.09119,0.030221182,8660.014901,0.257065273,0.222504029,95.93543383,1327.736906,8.061055388
27,0.403695696,891.4333699,0.001921959,996.1735015,0.000678,388.297002,11.37494517,895560.0451,880.8416667,0.032194505,4687.187573,0.171315335,0.122314862,85.25241246,824.5925855,8.691414542
