CaseID,Feature__INTENSITY-BASED_MeanIntensity(IBSI:Q4LE)[],Feature__INTENSITY-BASED_IntensityVariance(IBSI:ECT3)[],Feature__INTENSITY-BASED_IntensitySkewness(IBSI:KE2A)[],Feature__INTENSITY-BASED_IntensityKurtosis(IBSI:IPH6)[],Feature__INTENSITY-BASED_MedianIntensity(IBSI:Y12H)[],Feature__INTENSITY-BASED_MinimumIntensity(IBSI:1GSF)[],Feature__INTENSITY-BASED_10thIntensityPercentile(IBSI:QG58)[],Feature__INTENSITY-BASED_25thIntensityPercentile(IBSI:No)[],Feature__INTENSITY-BASED_50thIntensityPercentile(IBSI:Y12H)[],Feature__INTENSITY-BASED_75thIntensityPercentile(IBSI:No)[],Feature__INTENSITY-BASED_90thIntensityPercentile(IBSI:8DWT)[],Feature__INTENSITY-BASED_StandardDeviation(IBSI:No)[],Feature__INTENSITY-BASED_MaximumIntensity(IBSI:84IY)[],Feature__INTENSITY-BASED_IntensityInterquartileRange(IBSI:SALO)[],Feature__INTENSITY-BASED_IntensityRange(IBSI:2OJQ)[],Feature__INTENSITY-BASED_IntensityBasedMeanAbsoluteDeviation(IBSI:4FUA)[],Feature__INTENSITY-BASED_IntensityBasedRobustMeanAbsoluteDeviation(IBSI:1128)[],Feature__INTENSITY-BASED_IntensityBasedMedianAbsoluteDeviation(IBSI:N72L)[],Feature__INTENSITY-BASED_IntensityBasedCoefficientOfVariation(IBSI:7TET)[],Feature__INTENSITY-BASED_IntensityBasedQuartileCoefficientOfDispersion(IBSI:9S40)[],Feature__INTENSITY-BASED_AreaUnderCurveCIVH(IBSI:No)[],Feature__INTENSITY-BASED_IntensityBasedEnergy(IBSI:N8CA)[],Feature__INTENSITY-BASED_RootMeanSquareIntensity(IBSI:5ZWQ)[]
1,112.2127641,1523.035501,0.629448596,-0.100005624,104,13,66,85,104,137,172,39.02608744,253,52,240,31.21714919,21.82703618,30.26245066,0.347786526,0.234234234,424.4925775,486000000.0,118.805471
2,98.81171429,2431.265025,0.464338214,-0.736682595,86,13,42,61,86,139,172,49.30785966,232,78,219,41.79757426,31.58843363,41.01019048,0.49900824,0.39,341.3154107,128000000.0,110.431064
3,136.468874,1358.305021,0.502177022,-0.099012788,131,38,96,110,131,159,192,36.85518988,254,49,216,29.25991453,20.66581893,28.76382688,0.270062973,0.182156134,463.7440011,645000000.0,141.3579096
4,136.1708503,1343.063649,0.528515148,-0.013550289,130,38,96,110,130,157,192,36.6478328,254,47,216,28.9261673,20.402157,28.45004307,0.269131262,0.176029963,462.7927741,646000000.0,141.0161838
5,135.9827561,840.4051139,0.129721432,-1.21981425,133,77,99,110,133,163,176,28.98974153,197,53,120,25.51348698,20.91043694,25.43167388,0.213186895,0.194139194,256.3069535,268000000.0,139.0385381
6,90.549506,5818.086589,0.261983975,-1.246375955,86,0,0,0,86,158,201,76.2763829,254,158,254,66.25826013,58.52824642,66.21404338,0.842372159,1.0,363.1431602,1970000000.0,118.3946774
7,130.0464831,3035.437126,0.090904576,-1.112716822,131,13,56,81,131,179,199,55.09480126,253,98,240,47.906402,38.69562205,47.90540665,0.423654681,0.376923077,490.8540573,1300000000.0,141.2357068
8,112.8837461,1210.177101,0.519080154,0.045132013,108,13,71,90,108,133,164,34.78759981,238,43,225,27.13265573,18.56705334,26.63513083,0.308171911,0.192825112,400.2655564,438000000.0,118.1224671
9,126.8173007,2707.121034,-0.003312236,-1.290296847,126,34,56,79,126,175,196,52.03000129,245,96,211,45.8942784,38.67469921,45.89419884,0.410275262,0.377952756,421.3801175,1740000000.0,137.0757046
10,127.5891292,2428.267512,0.01135646,-1.106778807,129,22,59,85,129,167,193,49.27745439,234,82,212,42.73582649,34.60676445,42.72343163,0.38621985,0.325396825,425.8432088,538000000.0,136.7744618
