CaseID,Feature__INTENSITY-HISTOGRAM_IntensityHistogramMean(IBSI:X6K6)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramVariance(IBSI:CH89)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramSkewness(IBSI:88K1)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramKurtosis(IBSI:C3I7)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMedian(IBSI:WIFQ)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogram10thPercentile(IBSI:GPMT)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram25thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram50thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram75thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram90thPercentile(IBSI:OZ0C)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogramStd(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMode(IBSI:AMMC)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramInterquartileRange(IBSI:WR0O)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMeanAbsoluteDeviation(IBSI:D2ZX)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramRobustMeanAbsoluteDeviation(IBSI:WRZB)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMedianAbsoluteDeviation(IBSI:4RNL)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramCoefficientOfVariation(IBSI:CWYJ)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramQuartileCoefficientOfDispersion(IBSI:SLWD)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog10(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog2(IBSI:TLU2)[Intensity],Feature__INTENSITY-HISTOGRAM_AreaUnderCurveCIVH(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_Uniformity(IBSI:BJ5W)[Intensity],Feature__INTENSITY-HISTOGRAM_RootMeanSquare(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_MaximumHistogramGradient(IBSI:12CE)[Intensity],Feature__INTENSITY-HISTOGRAM_MaximumHistogramGradientGreyLevel(IBSI:8E6O)[Intensity],Feature__INTENSITY-HISTOGRAM_MinimumHistogramGradient(IBSI:VQB3)[Intensity],Feature__INTENSITY-HISTOGRAM_MinimumHistogramGradientGreyLevel(IBSI:RHQZ)[Intensity]
1,26.9804098,108.4832185,0.631683225,-0.082923906,25,15,20,25,34,43,10.41552776,23,14,8.331042777,5.938132469,8.055229858,0.386040384,0.259259259,1.581415758,5.253349437,101.1765367,0.032723232,0.000975,602.5,22,-599.5,27
2,25.57952381,207.2444379,0.468143172,-0.739043659,22,9,15,22,37,47,14.39598687,15,22,12.21017678,9.315086592,11.97304762,0.562793388,0.423076923,1.680094378,5.581152715,87.52993304,0.024927474,0.001540794,239.0,14,-152.5,16
3,29.6797185,119.6081402,0.49949228,-0.108282793,28,18,22,28,36,46,10.93655066,25,14,8.689058824,6.208482707,8.539155506,0.36848566,0.24137931,1.602524261,5.323470366,100.1690499,0.030918901,0.000979,305.5,19,-440.5,31
4,29.59148517,118.2790982,0.525431011,-0.024328316,28,18,22,28,36,46,10.87561944,25,14,8.593753852,6.126693067,8.448197367,0.367525299,0.24137931,1.599758224,5.314281789,99.87126246,0.03126309,0.000981,297.0,19,-445.0,31
5,31.97943723,239.143228,0.130094737,-1.220557018,30,12,18,30,46,53,15.46425646,12,28,13.61507874,11.34348644,13.55981241,0.483568749,0.4375,1.720435595,5.715163339,59.96144481,0.020915317,0.001228431,166.0,11,-153.5,13
6,23.45141669,362.884553,0.276339784,-1.245941224,22,1,1,22,40,51,19.04952895,1,39,16.56098715,14.68935544,16.54820004,0.812297577,0.951219512,1.51643244,5.037479527,93.07280998,0.082656156,0.000766,1590.5,3,-37795.0,1
7,31.73481011,216.4838329,0.084460075,-1.104371459,32,12,19,32,45,50,14.71338958,18,26,12.79135835,10.38104367,12.78823186,0.463635658,0.40625,1.715234289,5.697884975,119.0055379,0.021211765,0.000571,898.5,17,-579.5,51
8,28.93932641,97.47228485,0.514671767,0.044212139,28,17,22,28,35,43,9.872805318,28,13,7.680620391,5.258172488,7.563825046,0.341155325,0.228070175,1.573976792,5.228637727,101.7398194,0.033345809,0.001030289,391.0,25,-597.5,29
9,28.64123227,249.6453292,-0.002103735,-1.293032144,28,7,14,28,43,50,15.80016865,12,29,13.94273228,11.91233052,13.94266985,0.55165813,0.50877193,1.732733149,5.756014927,94.42656265,0.019681704,0.000461,1024.0,1,-635.5,52
10,32.41626095,220.2141938,0.014065981,-1.106741474,33,12,20,33,44,52,14.83961569,12,24,12.87248505,10.47068163,12.86347197,0.457783077,0.375,1.719666346,5.712607948,107.3788644,0.020827569,0.000851,303.0,22,-390.0,13
11,27.31977671,172.6774877,0.285711672,-0.530024613,27,10,17,27,36,45,13.14068064,10,19,10.80846414,8.258416536,10.8062201,0.48099517,0.358490566,1.684165696,5.594677341,90.49676037,0.02374797,0.001123618,239.5,28,-234.5,13
12,11.63457207,249.1479086,1.336108492,0.570414066,1,1,1,1,20,38,15.78441981,1,19,12.99484704,9.045171128,10.63457207,1.356682455,0.904761905,1.001942344,3.328380423,41.99353357,0.336075514,0.002394639,788.5,3,-33748.0,1
13,13.68399015,297.8811371,1.11178041,-0.103787598,1,1,1,1,25,43,17.25923339,1,24,14.62210466,10.73726868,12.68399015,1.261271983,0.923076923,1.099611196,3.652829325,53.45308651,0.288626441,0.002253414,593.5,3,-30291.0,1
14,12.05960925,247.9521884,1.306617686,0.60693845,1,1,1,1,21,38,15.74649765,1,20,13.02048071,9.23641346,11.05960925,1.305722045,0.909090909,1.069644165,3.553281003,47.86157421,0.297914433,0.002224725,992.5,3,-32561.0,1
15,23.17167897,357.775923,0.37838097,-1.115282089,21,1,4,21,39,51,18.91496558,1,35,16.29161503,14.00382622,16.24192804,0.816296722,0.813953488,1.562745436,5.191327968,91.9626009,0.066261757,0.001236195,989.5,3,-10083.0,1
16,32.58896318,82.01652164,0.190212854,-0.210226083,32,21,26,32,39,45,9.056297347,31,13,7.334601238,5.380384155,7.329911495,0.277894614,0.2,1.559677864,5.181137716,128.8282451,0.031478887,0.000935,413.0,25,-228.0,39
17,27.51938496,369.4020504,0.182062868,-1.265579967,25,1,10,25,46,54,19.21983482,1,36,16.78774064,14.84049019,16.70381101,0.698410769,0.642857143,1.681390234,5.585457457,109.2175591,0.031909718,0.000677,1008.0,3,-9185.0,1
