CaseID,Image_filename,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49
1,001_img.png,127.4291988288528,74.03455496740949,126.91535799840298,74.28468296131194,123.51864852275752,79.42750065046039,124.03719723183391,93.08294939234047,121.30937250465797,108.30423899697578,126.65201623635879,74.79548872099338,127.31837237157306,78.31867845171392,125.88521426670215,89.2597244521665,123.43364053766302,104.6094727555463,120.00207945169018,115.3157598076218,125.85200958211338,75.55293001279395,126.16725445834443,82.31357802224689,125.87082446100612,92.999705741642,123.49469323928666,107.37190747874057,118.95418552036199,116.94515643598166,126.90211605003992,78.36150216023469,126.15484429065744,87.8999784994929,124.8048143465531,98.74104886662089,122.24629025818473,110.81954894937995,116.9260047910567,118.78980055803399,122.87596486558424,81.77671560392986,124.66099946766036,95.53924047587573,123.88817540590897,105.53912162648386,120.26003127495342,114.63896531472744,114.18295847750865,120.30779883138521
2,002_img.png,128.38587641866332,73.71400749183587,127.98333633579536,74.25911967139508,122.95379210952981,79.08413167308177,119.72230228787606,98.24049387507173,117.64222662583319,110.77463319302223,128.5626914069537,73.67803892486903,126.44748693929021,75.94808958581729,126.10970996216898,90.10585278800374,122.39092055485499,109.00939760598504,120.25752116735724,116.71567194105204,128.90776436678075,74.76430963501306,127.1581696991533,78.29453985775385,126.88236353810125,94.36007072818188,122.46595208070617,111.30561561549881,116.90938569627095,117.94645834763789,126.20428751576293,74.43021216648832,125.24608178706539,83.8412748477266,126.22536479913529,98.6526637134644,120.82327508557017,113.9948369385671,114.76634840569267,119.51843259262104,126.94163213835346,75.38252427757249,125.87623851558278,90.05817689327058,124.03233651594307,104.19793835628651,119.68158890290037,117.17766221946272,113.08484957665286,121.18552904972921
3,003_img.png,125.0461338531514,73.71855841785491,128.73272687892572,75.32998978384087,123.60060645440763,77.29232729890681,134.6390513320338,91.16897675002797,121.10472168074507,107.04302498518358,126.86105696339615,73.68434713258155,125.84578730777561,78.19079174356547,126.24658869395712,87.87217117080198,121.64587394411956,102.06432525572572,122.17847086852935,113.68869671937925,125.89831059129305,74.61852701381049,127.80366038553173,80.3802185621101,125.14609053497942,89.4948884451816,126.23684210526316,105.25279707240799,119.48776261641758,114.77860388414008,128.30279402209226,77.16515160662125,121.91141433831493,82.51282711298438,122.69504006930907,94.84605656449,123.2353259692441,109.17305068738524,117.62583928958198,116.84078359338125,125.07938055014078,79.46961583677779,127.14912280701755,87.97964158564483,123.56302794022092,102.42480023424817,122.1275720164609,113.85945120438839,114.13374485596708,119.14177338068839
4,004_img.png,122.67796610169492,74.46321065127414,133.50310734463278,74.17080030216104,113.68700564971752,83.51274675577905,123.37175141242938,98.11784793488508,106.23022598870057,107.85822637144616,127.13559322033899,75.42680987803278,125.59350282485876,82.75785939184296,122.50564971751412,95.68493922869646,120.75621468926553,107.22698693386083,117.52062146892655,115.33002203040924,123.23107344632768,77.78866593897358,126.7093220338983,87.52907489884551,126.77655367231638,99.25082967100433,122.07203389830508,110.90488701432353,115.47937853107345,117.97177137049245,126.84350282485876,83.51904498894734,123.43163841807909,95.16329180075233,123.06920903954803,104.4568167523836,121.19830508474577,113.91531048647042,112.95706214689265,119.80102085132135,120.0723163841808,87.55829291018772,121.18248587570622,102.6731032643575,123.66101694915254,109.20073676354147,118.0132768361582,116.41492902300735,111.72966101694915,121.25634037309577
5,005_img.png,127.88551632245169,73.64363818799264,128.37435487452808,80.83026252377664,123.1230735065512,87.62568675872625,123.32669775705085,99.04656772410067,116.9100155451921,110.86056025159715,127.02376193648679,80.04046641637707,123.47677548301132,87.5337361456702,120.19824117255163,95.65487805065486,117.33624694648013,108.81937510549646,111.91547856984232,116.90099319463458,122.37983566511215,85.79236606657118,121.14878969575838,90.92083232455228,118.09497668221186,98.9002905039967,116.19065511880969,110.69225675182419,110.51403064623584,118.08849083870969,126.15201421274706,88.48583549420246,119.27486564512547,94.91285341367315,117.50411725516322,102.9246267877269,113.84329558072396,113.04831967432727,108.28771041527871,119.12685077882776,120.40151010437486,90.76670242002805,118.18724405951588,99.47058036784615,115.06962469464801,106.74278295263319,111.62611592271818,115.02245241216629,106.08710637352875,119.85377173279883
6,006_img.png,127.9307008816769,73.83315049141945,128.16460255926447,73.87856297932323,125.2383786750832,76.56573794928663,129.34354523311262,88.78181669662077,120.63717451713609,104.92432736243066,127.53907509691585,73.9023490646832,126.63194277676764,75.74755457223847,125.57240385604995,85.40499550646108,123.64448180040482,101.97265553279846,121.00025729870664,114.01821958051717,126.40510823698926,74.27045031520346,127.20201379121067,79.4357304056499,126.00782188068202,90.00111175542196,124.20033277299393,105.48036256697758,119.47776939174585,116.20455515839762,128.12523585714777,76.11513483501244,125.78036982400768,86.16026124682507,125.5535352842293,96.83173591538365,122.70549590037395,109.77788529550894,118.38310062094754,118.36706429588688,123.85069813715737,79.84872619976151,125.40939654876668,94.10439617360854,124.32412775738447,103.82086307361432,121.63285189886446,113.86640728525897,115.45632783285876,120.07950321501355
7,007_img.png,127.08386569960133,73.94119540583274,127.50232960276671,73.96507015287254,124.2022311350209,80.55490693130116,124.89244200009607,96.46439040248767,121.37191988087804,110.5156924284564,126.58068351025506,74.38087676850942,126.22310149382776,80.24335734183626,125.28736971036072,93.2121847362095,124.03168980258418,107.5552491838809,119.28735770209904,117.34422370592522,124.99514866227965,76.75258742699368,126.85310293481916,86.3844401897423,125.30336471492387,97.93848706649347,123.08162015466641,110.10517321798385,117.30150343436284,118.7184112440233,126.83748018636823,79.88363475275652,126.42509246361497,93.29437860548765,125.24795859551371,103.13943293310304,121.5647005139536,113.39201707529776,115.22262116336039,120.17056610420873,122.84879196887458,84.51532932192985,125.20112637494596,100.33151939792413,123.26227244344109,108.77699662965439,119.72169652721072,116.82675797321865,111.96510399154619,121.41847646156515
8,008_img.png,127.95984555984556,73.7103548060851,127.68245388245388,73.2248687526681,126.43131703131704,75.08792659143845,131.2975546975547,84.18931195306652,121.25113685113685,100.09924287028096,128.00918060918062,74.48589881357155,127.56808236808237,74.91644636673398,126.91711711711712,79.82790581074478,125.44049764049764,96.57999153508723,123.13856713856714,109.74724020322353,126.8950664950665,73.33390468147819,125.65954525954525,74.9270825720134,127.95375375375376,82.96681926758399,125.998712998713,100.17052255567613,123.75538395538396,111.5909009757504,128.15504075504074,74.03249998885198,127.0927498927499,78.01504366987841,127.2018876018876,89.26989524106746,124.89678249678249,105.27869362582827,121.42582582582583,115.18292825177848,127.45534105534105,76.13251588310104,125.06151866151866,87.30189777364193,125.41999141999142,99.3708389465801,123.07190047190048,110.98093711937972,119.88288288288288,118.25989859287978
9,009_img.png,127.329924451815,74.00408235327961,127.86166390270868,74.16675162779832,124.38819789939193,82.00044370852041,125.87612861617836,97.77063164322358,119.4554311774461,110.71976393922662,127.39787175234936,73.72320280061697,128.5447070204533,79.06195443577035,126.51453381241939,93.99927578498284,125.24818039432468,108.74527674395978,117.84047355813524,117.23933849712871,125.74716694306247,75.65916185199912,125.81969780726,86.30306596848139,125.13368343467846,100.08448822860414,121.07289939192924,112.00072309693303,116.70798783858486,119.04271869725828,127.29367053620786,81.14872502150136,126.01563939561451,97.47176791447549,123.64427860696517,107.78688031508285,119.54134420490142,116.39858184298014,112.55341348811498,120.74236736576593,122.01405011977151,90.10989280950702,122.94451354339414,107.69080359718191,120.4675234936429,115.0851985103334,113.70100884466557,119.82804977044637,107.58284964068547,121.8045454450991
10,010_img.png,127.74636406538247,73.6087605166351,126.88931314084688,74.11541358723552,125.9032991548329,76.12101567972795,126.06907203226221,86.09762040843138,122.3992020249689,102.89093928515646,128.63280278004206,73.64937642197847,126.60822000085804,75.3966456766415,124.63434724784418,81.31166877345878,126.4741516152559,97.46782849397844,123.27152601999228,111.02901517923208,126.31348406195032,74.18937541819186,126.02175125488009,77.20087231820912,126.20760221373719,84.6023712271135,125.26101505856107,100.99614788629782,121.76219486035437,112.3023980170224,126.11111587798705,75.43266031229243,127.39143678407483,79.84998121619448,125.76459736582436,90.33100887388905,124.05993393109958,105.36892917181423,121.52426101505856,114.92685188071725,125.51083272555665,77.68350280709744,126.3475481573641,89.31395333654324,125.59397657557167,100.12917466603847,122.82182847827019,111.23393362537894,118.6113518383457,118.20689442128806
