CaseID,Feature__INTENSITY-BASED_MeanIntensity(IBSI:Q4LE)[],Feature__INTENSITY-BASED_IntensityVariance(IBSI:ECT3)[],Feature__INTENSITY-BASED_IntensitySkewness(IBSI:KE2A)[],Feature__INTENSITY-BASED_IntensityKurtosis(IBSI:IPH6)[],Feature__INTENSITY-BASED_MedianIntensity(IBSI:Y12H)[],Feature__INTENSITY-BASED_MinimumIntensity(IBSI:1GSF)[],Feature__INTENSITY-BASED_10thIntensityPercentile(IBSI:QG58)[],Feature__INTENSITY-BASED_25thIntensityPercentile(IBSI:No)[],Feature__INTENSITY-BASED_50thIntensityPercentile(IBSI:Y12H)[],Feature__INTENSITY-BASED_75thIntensityPercentile(IBSI:No)[],Feature__INTENSITY-BASED_90thIntensityPercentile(IBSI:8DWT)[],Feature__INTENSITY-BASED_StandardDeviation(IBSI:No)[],Feature__INTENSITY-BASED_MaximumIntensity(IBSI:84IY)[],Feature__INTENSITY-BASED_IntensityInterquartileRange(IBSI:SALO)[],Feature__INTENSITY-BASED_IntensityRange(IBSI:2OJQ)[],Feature__INTENSITY-BASED_IntensityBasedMeanAbsoluteDeviation(IBSI:4FUA)[],Feature__INTENSITY-BASED_IntensityBasedRobustMeanAbsoluteDeviation(IBSI:1128)[],Feature__INTENSITY-BASED_IntensityBasedMedianAbsoluteDeviation(IBSI:N72L)[],Feature__INTENSITY-BASED_IntensityBasedCoefficientOfVariation(IBSI:7TET)[],Feature__INTENSITY-BASED_IntensityBasedQuartileCoefficientOfDispersion(IBSI:9S40)[],Feature__INTENSITY-BASED_AreaUnderCurveCIVH(IBSI:No)[],Feature__INTENSITY-BASED_IntensityBasedEnergy(IBSI:N8CA)[],Feature__INTENSITY-BASED_RootMeanSquareIntensity(IBSI:5ZWQ)[]
001,151.1796978972574,788.9423559907235,0.2247587074257388,-0.1167894515291334,150.0,79.0,115.0,132.0,150.0,170.0,187.0,28.0881177010978,242.0,38.0,163.0,22.55162022683936,15.881338489177168,22.524653979238757,0.1857929212174153,0.1258278145695364,387.11936494583904,1421302760.0,153.7668475722158
002,136.66231309673955,1238.531346766314,-0.0955802133491289,1.4569802262641636,135.0,0.0,98.0,117.0,135.0,156.0,180.0,35.19277407034453,252.0,39.0,252.0,26.180458931102702,17.127577066687245,26.13357953521888,0.2575163062360324,0.1428571428571428,541.9556273644439,221097653.0,141.1209380911193
003,153.24994585228484,2049.2734594945705,0.3506459921049822,-0.9548326477692748,149.0,75.0,98.0,115.0,149.0,182.0,225.0,45.26890168199987,243.0,67.0,168.0,38.81167267580897,30.480752506104096,38.750270738574834,0.2953926112680903,0.2255892255892256,402.89457439897336,235788522.0,159.79618069034964
004,110.11186440677947,614.2355089533669,0.6777796824958139,-0.2068742068684015,105.0,71.0,83.0,88.0,105.0,127.0,145.0,24.783775115049902,192.0,39.0,121.0,20.874652877524813,16.259842477986094,20.687005649717516,0.225078153463034,0.1813953488372093,209.45240995763663,45095558.0,112.86655036852324
005,130.16153675327664,1956.44767891746,0.1151594397200368,-0.8585789315920791,134.0,42.0,71.0,86.0,134.0,163.0,185.0,44.23174967054163,242.0,77.0,200.0,37.38540255835667,29.438340268182863,37.30481012658228,0.3398219687155634,0.3092369477911647,408.9489229402344,2127495635.0,137.47171828740576
006,155.1612748293238,625.4996345339109,0.0626992858711007,-0.0562608433888733,155.0,85.0,124.0,138.0,155.0,171.0,188.0,25.009990694398727,236.0,33.0,151.0,19.80819655010865,13.86419101088092,19.805413564787813,0.1611870663083267,0.1067961165048543,368.38545812036887,1439990964.0,157.16399346286423
007,126.34649839089288,517.240462905638,0.3105325900535754,-0.0906777038262891,126.0,71.0,96.0,109.0,126.0,142.0,155.0,22.74292116034433,234.0,33.0,163.0,18.59192353677915,13.942094348146137,18.58791248378885,0.1800043645846195,0.1314741035856573,324.321238824819,1372444951.0,128.3770934339361
008,116.22042042042072,1642.57990046675,-0.4164247492209852,-0.671928610878954,121.0,0.0,56.0,86.0,121.0,148.0,164.0,40.52875399598105,206.0,62.0,206.0,33.97998863728959,25.869358043726976,33.77194337194337,0.3487231748893232,0.2649572649572649,377.2460612397928,176570523.0,123.08438578132493
009,118.50651833425516,1001.22881323269,-0.0451316437926039,-0.6280602733436393,118.0,0.0,77.0,95.0,118.0,142.0,161.0,31.6421998797917,213.0,47.0,213.0,26.303350094362724,19.6537249264816,26.302906762483875,0.2670080964706335,0.1983122362869198,397.7162268086508,653194749.0,122.65815790618962
010,134.08503153288467,854.983374125944,0.3470095776699261,0.1195607938002103,133.0,42.0,98.0,112.0,133.0,155.0,170.0,29.240098736597044,248.0,43.0,206.0,23.840698068004198,17.654860508540676,23.829121798446952,0.218071311930339,0.1610486891385767,434.6674071710809,438996556.0,137.2362162670646
011,99.02040932255724,748.5150101482556,0.4935689795209918,-0.4357646700719626,95.0,42.0,66.0,77.0,95.0,119.0,137.0,27.35900236025165,208.0,42.0,166.0,22.88464750819508,17.459842268990716,22.68063264842406,0.2762965993316609,0.2142857142857142,259.419138456746,1300493657.0,102.73050409958545
012,141.03638218923925,571.6424054643244,0.612431345455999,0.7259324561234419,139.0,73.0,113.0,122.0,139.0,156.0,172.0,23.909044428088805,255.0,34.0,182.0,19.32533552617553,14.1275960548685,19.2482560296846,0.1695239487638602,0.1223021582733813,403.21362418832393,1102950499.0,143.0486053986319
013,112.53046874999949,820.2166497802949,0.1808738122450016,-0.9485072595001164,110.0,46.0,77.0,88.0,110.0,135.0,151.0,28.639424745973773,191.0,47.0,145.0,24.587202428169796,19.227584488550576,24.574251302083333,0.2545037363134054,0.210762331838565,257.20330810547665,828415368.0,116.11771202910865
014,148.9714528800541,947.5067155641312,0.6126305735059517,-0.8559001818122454,139.0,92.0,115.0,125.0,139.0,175.0,197.0,30.78159702751193,236.0,50.0,144.0,26.464406639928345,20.887438428164263,25.36405271351508,0.2066274875649904,0.1666666666666666,337.4261159986885,1278299907.0,152.11837656495862
015,139.21104575163346,548.9870283181734,-0.4383244102134192,-0.5971058106015557,144.0,81.0,102.0,124.0,144.0,156.0,167.0,23.430472217140085,195.0,32.0,114.0,19.23631184587345,14.049997184520585,18.934640522875817,0.1683090022823505,0.1142857142857142,249.71669730392384,609818290.0,141.16905570124672
016,97.5263096077054,745.1175248587958,0.4501274116092633,-0.6299438474764529,92.0,50.0,61.0,77.0,92.0,118.0,138.0,27.29684093185136,179.0,41.0,129.0,22.832096193980647,17.571851747462443,22.425534413906508,0.2798920726279043,0.2102564102564102,198.5068655303166,87323829.0,101.27437282233215
017,144.35212418300637,656.8111392787017,0.8737401816206469,1.4883315115962974,140.0,81.0,119.0,127.0,140.0,158.0,175.0,25.62832689191204,244.0,31.0,163.0,19.409002413603325,12.68256070153755,19.050816993464053,0.1775403516710361,0.1087719298245614,369.9897748161175,131545403.0,146.60950479223658
018,110.946450375022,855.3603803009141,0.5911559860041202,-0.5329750451675235,105.0,59.0,77.0,86.0,105.0,133.0,155.0,29.246544758328533,207.0,47.0,148.0,24.47481387953824,18.862401811392814,24.002354788069077,0.2636095581198781,0.2146118721461187,258.8342163788533,301887746.0,114.7365470594182
019,129.28518518518527,1185.7424510865485,-0.4563059838590421,1.1436597666351958,133.0,0.0,86.0,112.0,133.0,148.0,166.0,34.43461123762759,238.0,36.0,238.0,25.65903544871099,16.205465516069705,25.471929824561403,0.2663461493155941,0.1384615384615384,484.32478070174415,183658120.0,133.7923822923196
020,138.9685889175259,1984.5172156634935,-0.3311411188258117,-0.7651138232172237,148.0,13.0,79.0,99.0,148.0,175.0,190.0,44.54792044151437,241.0,76.0,228.0,38.03546056302879,29.7210873555809,37.48985180412371,0.3205610763447584,0.2773722627737226,498.22147833440897,132210447.0,145.9341835259709
021,130.65957977948838,699.1688238716794,0.5799498296787765,0.5533394660976287,128.0,50.0,101.0,114.0,128.0,143.0,169.0,26.44180069268505,220.0,29.0,170.0,20.051374271337853,13.106629477054858,19.866569586020383,0.2023716954953502,0.11284046692607,349.69633477217826,427128259.0,133.30826910594905
022,164.51259615384683,605.6013797984259,0.5781072235158489,-0.6081395195516519,159.0,114.0,137.0,144.0,159.0,184.0,200.0,24.60896949891291,242.0,40.0,128.0,20.901024140167788,16.278486457572644,20.48625,0.1495871445363332,0.1219512195121951,330.6046153846106,575535910.0,166.34300608404587
023,130.81153516295035,764.8287605935276,0.0602090564484115,-0.9154615760555824,130.0,75.0,95.0,109.0,130.0,153.0,169.0,27.65553761172485,197.0,44.0,122.0,23.31771171985503,17.828505410451545,23.30553173241853,0.2114151292336312,0.1679389312977099,251.1848131968393,83375933.0,133.70297862157486
024,148.80199638878463,527.5104147109848,-0.0821226780725134,-0.5922656862149389,149.0,77.0,118.0,132.0,149.0,166.0,179.0,22.967594883029975,224.0,34.0,147.0,19.04548818509841,14.330011787188688,19.044186284195824,0.1543500452979209,0.1140939597315436,344.0588541844025,665419141.0,150.56408782973085
025,149.6506631299723,1197.5401653427675,-0.238630369597384,0.2588218490951868,149.0,13.0,106.0,129.0,149.0,173.0,194.0,34.60549328275451,251.0,44.0,238.0,27.198635535322733,18.85055939821319,27.19708222811671,0.2312418305336841,0.1456953642384106,560.1389381631571,711560692.0,153.59967819166664
026,104.41806653491447,905.5053093051912,0.7402860868880891,0.5064234722067793,99.0,34.0,69.0,83.0,99.0,121.0,149.0,30.09161526580438,219.0,38.0,185.0,23.63598573269201,16.787455547952664,23.36898880105402,0.2881839921422274,0.1862745098039215,304.3051674181111,143404099.0,108.6675569256758
027,112.90233152084409,801.9013330601778,-0.2262339788216132,-0.4502251151990526,115.0,38.0,71.0,95.0,115.0,133.0,148.0,28.317862438047435,200.0,38.0,162.0,22.90352542628379,16.779294323502356,22.838866919316747,0.250817339700548,0.1666666666666666,288.29431846266505,986734759.0,116.3994750671268
028,140.5029371584701,548.2699367282931,1.02580193380245,0.6445484763335116,134.0,99.0,115.0,122.0,134.0,154.0,175.0,23.41516467437915,232.0,32.0,133.0,18.71530341119056,13.39804139866068,18.140642076502733,0.1666524924526646,0.1159420289855072,294.0277172984556,297036015.0,142.44067286728622
029,134.74933387989307,996.7594661477953,0.2121367115228737,-0.5996167060007513,133.0,56.0,93.0,112.0,133.0,159.0,178.0,31.571497686169327,245.0,47.0,189.0,26.099228003485937,19.64334721876868,26.06579217052675,0.2342979870632246,0.1734317343173431,400.7358545552783,186906122.0,138.39849149186125
030,128.5212732919257,1374.7983052110203,0.2803116395493258,-0.7612557053948605,129.0,69.0,79.0,96.0,129.0,155.0,179.0,37.07827268375673,232.0,59.0,163.0,31.210043642219063,24.344413319696656,31.20543478260869,0.2884991078444767,0.2350597609561753,329.3216153920777,115227803.0,133.76290963413146
031,110.84121830550376,723.7891050092398,0.1809598180385201,-0.8101495625960986,110.0,59.0,77.0,86.0,110.0,132.0,147.0,26.90332888341589,199.0,46.0,140.0,22.786663872836016,17.545301910802344,22.784322820037104,0.2427195342554261,0.2110091743119266,244.58502435063653,84145865.0,114.05947913460608
032,131.4196428571434,951.913676167572,0.2129897145811854,-1.0604562403570257,131.0,75.0,93.0,101.0,131.0,155.0,175.0,30.85309832362987,206.0,54.0,131.0,26.504106862530755,21.34159736999517,26.50147174254317,0.2347677839694633,0.2109375,270.9633122179202,185729185.0,134.99272648875035
033,157.41062801932426,1415.5746558512517,0.2591294622467348,-0.2802031185835369,154.0,46.0,120.0,127.0,154.0,185.0,210.0,37.624123323358006,255.0,58.0,209.0,31.115751992878767,23.189999306277365,31.00414078674948,0.2390189518762299,0.1858974358974359,516.4442826949537,75909286.0,161.844618289547
034,153.19259892525596,570.4312739979183,0.4898701820865043,0.0974982308955909,152.0,101.0,125.0,135.0,152.0,169.0,185.0,23.88370310479341,252.0,34.0,151.0,19.260275561432,13.854085292545072,19.22215437225208,0.155906377151069,0.1118421052631579,363.5794569797615,196826449.0,155.04323151776862
035,136.8580022075062,426.8972207328768,0.0641207733438222,-0.4187217975106292,137.0,79.0,109.0,122.0,137.0,151.0,163.0,20.66149125142899,202.0,29.0,123.0,16.794152705289243,12.251464461655344,16.79067328918322,0.150970282469137,0.1062271062271062,264.79513141557754,347125021.0,138.4088508331836
036,107.62461229702588,1141.129107790758,-0.0623840435563562,-0.3369509831927249,109.0,28.0,61.0,86.0,109.0,130.0,152.0,33.780602537414254,202.0,44.0,174.0,26.92917565384978,18.80623504241226,26.88186462324393,0.3138743249934824,0.2037037037037037,295.297991071431,278965060.0,112.80153491808494
