,Descriptor,Train,Test,Classifier,Scaler,Acc. avg,Acc. std,Sens.,Spec.
0,Morphological,BrEaST,BrEaST,Rbf SVC,z-score,75.03529411764706,4.418381095295876,57.1578947368421,86.3225806451613
0,Morphological,BrEaST,BUID,Rbf SVC,z-score,71.55172413793103,,64.22764227642277,79.81651376146789
0,Morphological,BUID,BUID,Rbf SVC,z-score,77.12303422756708,3.9353630042451555,76.46666666666667,78.008658008658
0,Morphological,BrEaST,BUID,Rbf SVC,z-score,71.55172413793103,,64.22764227642277,79.81651376146789
0,DCF,BrEaST,BrEaST,Rbf SVC,z-score,74.23529411764706,5.967127687691537,64.10526315789473,80.51612903225806
0,DCF,BrEaST,BUID,Rbf SVC,z-score,77.15517241379311,,73.98373983739837,80.73394495412845
0,DCF,BUID,BUID,Rbf SVC,z-score,73.65402405180389,6.522532935990305,78.03333333333333,68.7012987012987
0,DCF,BrEaST,BUID,Rbf SVC,z-score,77.15517241379311,,73.98373983739837,80.73394495412845
0,Gabor,BrEaST,BrEaST,Rbf SVC,z-score,74.58039215686274,3.561889782619531,58.8421052631579,84.38709677419355
0,Gabor,BrEaST,BUID,Rbf SVC,z-score,69.82758620689656,,53.65853658536586,88.07339449541286
0,Gabor,BUID,BUID,Rbf SVC,z-score,73.20999074930619,8.354631348067967,79.66666666666667,65.84415584415584
0,Gabor,BrEaST,BUID,Rbf SVC,z-score,69.82758620689656,,53.65853658536586,88.07339449541286
0,HOG,BrEaST,BrEaST,Rbf SVC,z-score,69.09019607843138,4.4838057103978874,40.73684210526316,87.05376344086021
0,HOG,BrEaST,BUID,Rbf SVC,z-score,63.36206896551724,,64.22764227642277,62.38532110091744
0,HOG,BUID,BUID,Rbf SVC,z-score,61.591119333950054,8.35049220649767,70.06666666666668,52.251082251082245
0,HOG,BrEaST,BUID,Rbf SVC,z-score,63.36206896551724,,64.22764227642277,62.38532110091744
0,LBP-8-1-nri-uniform,BrEaST,BrEaST,Rbf SVC,z-score,71.43529411764706,3.417358497486914,62.05263157894736,77.26881720430109
